"","Catchsim","Year","Catchest","Scenario"
"133",1947.80968159947,2014,1937.1555,3
"134",1245.11330805807,2015,1242.643,3
"135",260.642551934866,2016,261.6333,3
"136",580.032677377118,2017,580.0717,3
"137",860.913139705072,2018,859.11145,3
"138",367.571306284197,2019,364.646,3
"139",475.382357606697,2020,473.94595,3
"140",619.554429490594,2021,612.59635,3
"141",789.855791291598,2022,784.87975,3
"142",1033.01195442728,2023,1042.1555,3
"143",1251.20915928385,2024,1244.248,3
"144",1503.60130507182,2025,1503.2255,3
"145",1837.84736558279,2026,1834.045,3
"146",2099.65145000431,2027,2092.197,3
"147",2437.75841534695,2028,2442.013,3
"148",2664.46290224513,2029,2669.6775,3
"149",3030.93982677057,2030,3027.738,3
"150",3171.35261394411,2031,3184.557,3
"151",3317.55539350733,2032,3319.281,3
"152",3370.33594279098,2033,3373.061,3
"153",3453.51048625668,2034,3436.6225,3
"154",3432.14829102232,2035,3440.8485,3
"155",3410.53017880805,2036,3414.2225,3
"156",3432.84086794497,2037,3452.6725,3
"157",6647.16770587071,1986,6799.6385,4
"158",8130.44701038667,1987,8004.455,4
"159",9703.92063158245,1988,9615.342,4
"160",8396.43097657977,1989,8357.3685,4
"161",13997.9002823579,1990,13909.35,4
"162",17914.5548594407,1991,17856.87,4
"163",16849.0859509177,1992,16783.15,4
"164",11260.2202211092,1993,11209.155,4
"165",7568.67196794805,1994,7543.853,4
"166",5812.52022052306,1995,5792.6195,4
"167",5004.91572695708,1996,4995.9915,4
"168",5452.38941590394,1997,5459.844,4
"169",4213.11678231634,1998,4224.3845,4
"170",3321.00279338297,1999,3312.2025,4
"171",2429.52976736888,2000,2423.505,4
"172",3527.58624980427,2001,3520.563,4
"173",4393.98621675814,2002,4383.985,4
"174",4240.30128789631,2003,4251.559,4
"175",4684.84265810762,2004,4687.803,4
"176",4707.14898469411,2005,4700.266,4
"177",5284.61296570179,2006,5270.9995,4
"178",3162.68866116184,2007,3147.529,4
"179",3897.52122163458,2008,3899.689,4
"180",5274.08022447472,2009,5268.8565,4
"181",5663.61270725488,2010,5676.7475,4
"182",5398.15407042508,2011,5374.8645,4
"183",5152.4258116925,2012,5151.5215,4
"184",3039.01853263658,2013,3041.449,4
"185",1947.80968159948,2014,1945.4115,4
"186",1245.11330805807,2015,1245.014,4
"187",260.642551934866,2016,260.9707,4
"188",580.032677377118,2017,580.3062,4
"189",860.913139705072,2018,861.48245,4
"190",505.171201049799,2019,504.2836,4
"191",505.178158706886,2020,506.90555,4
"192",651.12881394871,2021,653.43425,4
"193",362.011139991077,2022,362.5939,4
"194",504.905456797793,2023,509.83155,4
"195",500.693349827626,2024,494.09455,4
"196",628.023345293136,2025,629.0722,4
"197",717.13681129443,2026,719.93945,4
"198",859.80138327865,2027,859.09245,4
"199",1027.17037332047,2028,1028.738,4
"200",1171.54585621609,2029,1169.1115,4
"201",1474.29520343963,2030,1476.431,4
"202",1584.07280057818,2031,1597.495,4
"203",2093.74685129019,2032,2094.5675,4
"204",2147.11012014139,2033,2160.3855,4
"205",2903.59588493195,2034,2922.3505,4
"206",2902.31694285792,2035,2887.836,4
"207",3741.12123778474,2036,3742.418,4
"208",3584.95188137401,2037,3589.6045,4
"209",9633.49656395959,1986,9598.739,5
"210",10729.723921589,1987,10641.38,5
"211",8876.19761926296,1988,8889.4035,5
"212",14815.3771327544,1989,14719.27,5
"213",18424.4869594142,1990,18238.465,5
"214",17265.8453292711,1991,17085.62,5
"215",11566.7926126508,1992,11468.4,5
"216",7613.62395530168,1993,7619.736,5
"217",5755.09287246954,1994,5717.5995,5
"218",4938.1163083318,1995,4914.96,5
"219",5362.59666935739,1996,5342.1485,5
"220",4106.21396914285,1997,4079.248,5
"221",3210.60339298982,1998,3200.6075,5
"222",2332.84652602589,1999,2330.2145,5
"223",3369.37931314554,2000,3375.242,5
"224",4168.64199988964,2001,4163.8175,5
"225",4002.82825489992,2002,3998.341,5
"226",4424.91508431754,2003,4413.4015,5
"227",4443.68621352355,2004,4449.7125,5
"228",5062.12804685166,2005,5068.458,5
"229",3067.88701708083,2006,3065.717,5
"230",3798.59500137196,2007,3808.398,5
"231",5151.75446846276,2008,5139.1225,5
"232",5565.33333291908,2009,5554.8365,5
"233",5339.0202921975,2010,5322.285,5
"234",5109.97072073816,2011,5096.6345,5
"235",3032.40778800539,2012,3009.2795,5
"236",1952.69883512817,2013,1925.864,5
"237",1242.3906597693,2014,1225.4665,5
"238",260.327717992316,2015,259.99095,5
"239",578.949825917598,2016,578.8156,5
"240",857.488542766297,2017,860.55935,5
"241",515.712106409548,2018,518.9504,5
"242",206.043810581042,2019,210.2315,5
"243",206.050824305584,2020,208.4482,5
"244",264.957860094201,2021,265.15855,5
"245",482.79433392244,2022,486.9477,5
"246",544.323514281529,2023,544.9007,5
"247",1220.03067136996,2024,1246.4445,5
"248",1349.68786628299,2025,1352.1565,5
"249",2218.22509434037,2026,2227.3785,5
"250",2241.41684982596,2027,2252.207,5
"251",2653.31375128501,2028,2701.3445,5
"252",2497.05211026157,2029,2510.628,5
"253",2309.84548034719,2030,2301.9025,5
"254",2229.48786296593,2031,2255.0515,5
"255",1595.00024700646,2032,1604.898,5
"256",1730.59688520691,2033,1738.884,5
"257",1568.37258960016,2034,1582.4365,5
"258",1640.91400098988,2035,1663.213,5
"259",1691.26733249994,2036,1726.162,5
"260",1702.82893736229,2037,1717.2715,5
"261",9637.46700401585,1986,9624.43,6
"262",10721.216716589,1987,10669.71,6
"263",8877.93815982742,1988,8899.755,6
"264",14815.6811060452,1989,14697.71,6
"265",18424.5908143018,1990,18214.76,6
"266",17265.8699625826,1991,17106.48,6
"267",11566.7987721973,1992,11502.44,6
"268",7613.62540482149,1993,7571.217,6
"269",5755.09309204432,1994,5718.695,6
"270",4938.11634354885,1995,4908.933,6
"271",5362.59667904674,1996,5345.282,6
