"","rhoSSB","Year","Scenario"
"215",-0.00340938240643842,2030,4
"216",-0.00213540597285646,2031,4
"217",-0.00547174026738216,2032,4
"218",-1.97006643139889e-05,2033,4
"219",-0.00173368138917064,2034,4
"220",-0.000205270477122786,2035,4
"221",0.000168013195926165,2036,4
"222",0.00599995556355733,2037,4
"223",0.00883296621845087,2038,4
"224",0.0122687522348727,2039,4
"225",NA,1984,5
"226",NA,1985,5
"227",NA,1986,5
"228",NA,1987,5
"229",NA,1988,5
"230",NA,1989,5
"231",NA,1990,5
"232",NA,1991,5
"233",NA,1992,5
"234",NA,1993,5
"235",NA,1994,5
"236",NA,1995,5
"237",NA,1996,5
"238",NA,1997,5
"239",NA,1998,5
"240",NA,1999,5
"241",NA,2000,5
"242",NA,2001,5
"243",NA,2002,5
"244",NA,2003,5
"245",NA,2004,5
"246",NA,2005,5
"247",NA,2006,5
"248",NA,2007,5
"249",NA,2008,5
"250",NA,2009,5
"251",NA,2010,5
"252",NA,2011,5
"253",NA,2012,5
"254",NA,2013,5
"255",NA,2014,5
"256",NA,2015,5
"257",NA,2016,5
"258",NA,2017,5
"259",NA,2018,5
"260",NA,2019,5
"261",0.113569427087538,2020,5
"262",0.16402808434919,2021,5
"263",0.208124067362837,2022,5
"264",0.237991138332772,2023,5
"265",0.266156136110536,2024,5
"266",0.294095210588471,2025,5
"267",0.32726984865235,2026,5
"268",0.464266736532252,2027,5
"269",0.620962542719106,2028,5
"270",0.725196333087381,2029,5
"271",0.778232374538608,2030,5
"272",0.744879608213346,2031,5
"273",0.666108197225775,2032,5
"274",0.555086140491898,2033,5
"275",0.474097201276693,2034,5
"276",0.366094227397951,2035,5
"277",0.289223060434057,2036,5
"278",0.23247978175636,2037,5
"279",0.206250506605844,2038,5
"280",0.215440573557102,2039,5
"281",NA,1984,6
"282",NA,1985,6
"283",NA,1986,6
"284",NA,1987,6
"285",NA,1988,6
"286",NA,1989,6
"287",NA,1990,6
"288",NA,1991,6
"289",NA,1992,6
"290",NA,1993,6
"291",NA,1994,6
"292",NA,1995,6
"293",NA,1996,6
"294",NA,1997,6
"295",NA,1998,6
"296",NA,1999,6
"297",NA,2000,6
"298",NA,2001,6
"299",NA,2002,6
"300",NA,2003,6
"301",NA,2004,6
"302",NA,2005,6
"303",NA,2006,6
"304",NA,2007,6
"305",NA,2008,6
"306",NA,2009,6
"307",NA,2010,6
"308",NA,2011,6
"309",NA,2012,6
"310",NA,2013,6
"311",NA,2014,6
"312",NA,2015,6
"313",NA,2016,6
"314",NA,2017,6
"315",NA,2018,6
"316",NA,2019,6
"317",0.113781958612239,2020,6
"318",0.159252869895552,2021,6
"319",0.203663562355706,2022,6
"320",0.238294882557892,2023,6
"321",0.278212826187915,2024,6
"322",0.315480967198336,2025,6
"323",0.348335723297409,2026,6
"324",0.501084628209286,2027,6
"325",0.622020772882728,2028,6
"326",0.653559769177572,2029,6
"327",0.630700784462426,2030,6
"328",0.579702383807839,2031,6
"329",0.509668240086559,2032,6
"330",0.418323131056825,2033,6
"331",0.353245891700448,2034,6
"332",0.278245959285629,2035,6
"333",0.224625349635098,2036,6
"334",0.20423582419094,2037,6
"335",0.189103549924984,2038,6
"336",0.20657476166246,2039,6
"337",NA,1984,7
"338",NA,1985,7
"339",NA,1986,7
"340",NA,1987,7
"341",NA,1988,7
"342",NA,1989,7
"343",NA,1990,7
"344",NA,1991,7
"345",NA,1992,7
"346",NA,1993,7
"347",NA,1994,7
"348",NA,1995,7
"349",NA,1996,7
"350",NA,1997,7
"351",NA,1998,7
"352",NA,1999,7
"353",NA,2000,7
"354",NA,2001,7
"355",NA,2002,7
"356",NA,2003,7
"357",NA,2004,7
"358",NA,2005,7
"359",NA,2006,7
"360",NA,2007,7
"361",NA,2008,7
"362",NA,2009,7
"363",NA,2010,7
"364",NA,2011,7
"365",NA,2012,7
"366",NA,2013,7
"367",NA,2014,7
"368",NA,2015,7
"369",NA,2016,7
"370",NA,2017,7
"371",NA,2018,7
"372",NA,2019,7
"373",0.12081285301041,2020,7
"374",0.181081099044157,2021,7
"375",0.230162588567861,2022,7
"376",0.283673267162699,2023,7
"377",0.311606086707029,2024,7
"378",0.338673142083818,2025,7
"379",0.345525351167131,2026,7
"380",0.414749143646023,2027,7
"381",0.411746654484674,2028,7
"382",0.383942371302272,2029,7
"383",0.364410486718884,2030,7
"384",0.338475186900491,2031,7
"385",0.319183741275739,2032,7
"386",0.299594390288099,2033,7
"387",0.292551590007175,2034,7
"388",0.283771443334192,2035,7
"389",0.291807512668181,2036,7
"390",0.287822291966802,2037,7
"391",0.278626854734438,2038,7
"392",0.277681479941546,2039,7
"393",NA,1984,8
"394",NA,1985,8
"395",NA,1986,8
"396",NA,1987,8
"397",NA,1988,8
"398",NA,1989,8
"399",NA,1990,8
"400",NA,1991,8
"401",NA,1992,8
"402",NA,1993,8
"403",NA,1994,8
"404",NA,1995,8
"405",NA,1996,8
"406",NA,1997,8
"407",NA,1998,8
"408",NA,1999,8
"409",NA,2000,8
"410",NA,2001,8
"411",NA,2002,8
"412",NA,2003,8
"413",NA,2004,8
"414",NA,2005,8
"415",NA,2006,8
"416",NA,2007,8
"417",NA,2008,8
"418",NA,2009,8
"419",NA,2010,8
"420",NA,2011,8
"421",NA,2012,8
"422",NA,2013,8
"423",NA,2014,8
"424",NA,2015,8
"425",NA,2016,8
"426",NA,2017,8
"427",NA,2018,8
"428",NA,2019,8
"429",0.108272605476074,2020,8
"430",0.168818861029143,2021,8
"431",0.219726128621312,2022,8
"432",0.252465295613064,2023,8
"433",0.276195318694191,2024,8
"434",0.300861996209066,2025,8
"435",0.317837687679514,2026,8
"436",0.429944184114203,2027,8
"437",0.496183749443795,2028,8
"438",0.542658987254976,2029,8
"439",0.579682563573287,2030,8
"440",0.626957494249973,2031,8
"441",0.657850042275669,2032,8
"442",0.69283208155662,2033,8
"443",0.731025067646871,2034,8
"444",0.755774147134168,2035,8
"445",0.763303237506259,2036,8
"446",0.733284261441433,2037,8
"447",0.673357284213737,2038,8
"448",0.565969781828675,2039,8
"449",NA,1984,9
"450",NA,1985,9
"451",NA,1986,9
"452",NA,1987,9
"453",NA,1988,9
"454",NA,1989,9
"455",NA,1990,9
"456",NA,1991,9
"457",NA,1992,9
"458",NA,1993,9
"459",NA,1994,9
"460",NA,1995,9
"461",NA,1996,9
"462",NA,1997,9
"463",NA,1998,9
"464",NA,1999,9
"465",NA,2000,9
"466",NA,2001,9
"467",NA,2002,9
"468",NA,2003,9
"469",NA,2004,9
"470",NA,2005,9
"471",NA,2006,9
"472",NA,2007,9
"473",NA,2008,9
"474",NA,2009,9
"475",NA,2010,9
"476",NA,2011,9
"477",NA,2012,9
"478",NA,2013,9
