"","SSBratiot","Time","Scenario"
"1",1.05084679596813,"Short-term",1
"2",1.06247642572913,"Short-term",1
"3",1.03649984636424,"Short-term",1
"4",1.14961880773242,"Short-term",1
"5",1.02903048131166,"Short-term",1
"6",1.10322735570796,"Short-term",1
"7",1.00341417407401,"Short-term",1
"8",1.04611207302763,"Short-term",1
"9",1.12567747940198,"Short-term",1
"10",1.02169042024995,"Short-term",1
"11",1.02748444119595,"Short-term",1
"12",1.04315280572934,"Short-term",1
"13",1.16887988622122,"Short-term",1
"14",1.09107179332863,"Short-term",1
"15",1.02652982810331,"Short-term",1
"16",1.01748773667228,"Short-term",1
"17",1.07560751448144,"Short-term",1
"18",0.961711571085026,"Short-term",1
"19",1.02515464507012,"Short-term",1
"20",1.03189831362898,"Short-term",1
"21",1.07115603224507,"Short-term",1
"22",1.05544489103241,"Short-term",1
"23",1.01751687862681,"Short-term",1
"24",1.02600553985796,"Short-term",1
"25",0.981002814884284,"Short-term",1
"26",0.980600545099095,"Short-term",1
"27",1.08665323310928,"Short-term",1
"28",1.05692095140111,"Short-term",1
"29",1.05186592700078,"Short-term",1
"30",1.05053171860209,"Short-term",1
"31",1.11215516075692,"Short-term",1
"32",1.0173528775163,"Short-term",1
"33",1.06485665177153,"Short-term",1
"34",1.01807427749844,"Short-term",1
"35",1.00514606245339,"Short-term",1
"36",1.05007655025634,"Short-term",1
"37",0.977805304368733,"Short-term",1
"38",1.05307604291716,"Short-term",1
"39",1.01690678838907,"Short-term",1
"40",1.02533359572304,"Short-term",1
"41",1.03109376080252,"Short-term",1
"42",1.09275782707218,"Short-term",1
"43",1.07636787334973,"Short-term",1
"44",1.01862122826654,"Short-term",1
"45",1.03459393622138,"Short-term",1
"46",1.05176858410188,"Short-term",1
"47",1.05068567812695,"Short-term",1
"48",1.0594445112768,"Short-term",1
"49",1.09731027477845,"Short-term",1
"50",1.10454231515254,"Short-term",1
"51",1.01684320114369,"Short-term",1
"52",1.031985874225,"Short-term",1
"53",1.06048898762707,"Short-term",1
"54",1.03358650013238,"Short-term",1
"55",1.03534751689953,"Short-term",1
"56",1.08390189576513,"Short-term",1
"57",1.17579161061346,"Short-term",1
"58",0.97515283412978,"Short-term",1
"59",1.05040166849694,"Short-term",1
"60",1.05522411574352,"Short-term",1
"61",0.91313443352702,"Short-term",1
"62",1.00754101270557,"Short-term",1
"63",1.03575150629115,"Short-term",1
"64",1.03359673775187,"Short-term",1
"65",1.08209044728714,"Short-term",1
"66",1.02551611455673,"Short-term",1
"67",1.06071755621735,"Short-term",1
"68",1.05494869009314,"Short-term",1
"69",1.04211403693839,"Short-term",1
"70",0.994891877344096,"Short-term",1
"71",1.04728097743604,"Short-term",1
"72",1.0553791180973,"Short-term",1
"73",1.07500827291714,"Short-term",1
"74",1.06107966813915,"Short-term",1
"75",0.991355982039397,"Short-term",1
"76",1.05042021300419,"Short-term",1
"77",1.03457759922398,"Short-term",1
"78",1.12015653384224,"Short-term",1
"79",1.03635795967737,"Short-term",1
"80",1.03172001084243,"Short-term",1
