"","Time","Scenario","Fratio"
"1","Short-term",1,0.300233944
"979","Short-term",1,0.190610632
"1957","Short-term",1,0.180551109
"2935","Short-term",1,0.698579557
"3913","Short-term",1,0.190105885
"4891","Short-term",1,0.282939363
"5869","Short-term",1,0.101040144
"6847","Short-term",1,0.259022974
"7825","Short-term",1,0.274744614
"8803","Short-term",1,0.263475398
"9781","Short-term",1,0.427453106
"10759","Short-term",1,0.194003641
"11737","Short-term",1,0.442011431
"12715","Short-term",1,0.586005251
"13693","Short-term",1,0.235118816
"14671","Short-term",1,0.184350921
"15649","Short-term",1,0.415737521
"16627","Short-term",1,0.092822018
"17605","Short-term",1,0.13916057
"18583","Short-term",1,0.340704236
"19561","Short-term",1,0.297414678
"20539","Short-term",1,0.394007274
"21517","Short-term",1,0.246065544
"22495","Short-term",1,0.273992213
"23473","Short-term",1,0.092259718
"24451","Short-term",1,0.192464856
"25429","Short-term",1,0.50233722
"26407","Short-term",1,0.360680857
"27385","Short-term",1,0.483284892
"28363","Short-term",1,0.248953954
"29341","Short-term",1,0.462348531
"30319","Short-term",1,0.11983399
"31297","Short-term",1,0.104767926
"32275","Short-term",1,0.195448734
"33253","Short-term",1,0.288071675
"34231","Short-term",1,0.211991563
"35209","Short-term",1,0.116067573
"36187","Short-term",1,0.210495037
"37165","Short-term",1,0.170251483
"38143","Short-term",1,0.172890481
"39121","Short-term",1,0.160139136
"40099","Short-term",1,0.506125689
"41077","Short-term",1,0.233657218
"42055","Short-term",1,0.165625231
"43033","Short-term",1,0.178311522
"44011","Short-term",1,0.283995844
"44989","Short-term",1,0.309123879
"45967","Short-term",1,0.346058374
"46945","Short-term",1,0.414493644
"47923","Short-term",1,0.831814942
"48901","Short-term",1,0.117479606
"49879","Short-term",1,0.132093642
"50857","Short-term",1,0.35101608
"51835","Short-term",1,0.199531798
"52813","Short-term",1,0.200809989
"53791","Short-term",1,0.301636824
"54769","Short-term",1,0.669587438
"55747","Short-term",1,0.166182833
"56725","Short-term",1,0.399581957
"57703","Short-term",1,0.131916902
"58681","Short-term",1,0.079320991
"59659","Short-term",1,0.109248136
"60637","Short-term",1,0.650396283
"61615","Short-term",1,0.151014057
"62593","Short-term",1,0.252591244
"63571","Short-term",1,0.212706109
"64549","Short-term",1,0.278614235
"65527","Short-term",1,0.188592539
"66505","Short-term",1,0.252774922
"67483","Short-term",1,0.206057068
"68461","Short-term",1,0.435570635
"69439","Short-term",1,0.380510439
"70417","Short-term",1,0.284179315
"71395","Short-term",1,0.33615049
"72373","Short-term",1,0.177500519
"73351","Short-term",1,0.421155295
"74329","Short-term",1,0.21860738
"75307","Short-term",1,0.31395438
"76285","Short-term",1,0.232734813
"77263","Short-term",1,0.44899036
"78241","Short-term",1,0.368169575
"79219","Short-term",1,0.654524913
"80197","Short-term",1,0.110460919
"81175","Short-term",1,0.103461034
"82153","Short-term",1,0.548331302
"83131","Short-term",1,0.355796811
"84109","Short-term",1,0.409066737
"85087","Short-term",1,0.172718484
"86065","Short-term",1,0.320424099
"87043","Short-term",1,0.254264761
"88021","Short-term",1,0.196691842
