"","REEF","Year","Scenario"
"1",-0.989179236844562,2019,1
"2",-3.05760254221606,2021,1
"3",-3.51286229751237,2023,1
"4",-4.02864570885391,2025,1
"5",-3.36972386570368,2027,1
"6",-3.40649160794507,2029,1
"7",-3.45438571527035,2031,1
"8",-1.68800564894276,2033,1
"9",-1.57118571092181,2035,1
"10",-0.683570756881434,2037,1
"11",-1.47564425529557,2039,1
