"","Year","Scenario","OM","Rho","Frequency","HCR","SSB","SSBest","F_full","Fest","R","Rest","Catchsim","Catchest","REESSB","REEF","rhoSSB"
"1",1986,1,1,2,1,1,28995.50786,26890.11,0.8563994,0.7990341,16631560,15739580,11109.73577,10733.37,NA,NA,NA
"2",1987,1,1,2,1,1,26848.0733,27653.07,0.8681519,0.8094833,17662870,16687200,11405.65384,11428.31,NA,NA,NA
"3",1988,1,1,2,1,1,27015.40455,27973.18,0.6547805,0.61294,32593270,30200670,9131.13191,9125.148,NA,NA,NA
"4",1989,1,1,2,1,1,27818.83834,33951.26,0.9745814,0.9352006,5051173,4517135,14995.34634,14960.05,NA,NA,NA
"5",1990,1,1,2,1,1,34683.72526,36143.41,1.198393,1.173658,5417801,4650154,18485.97487,18390.71,NA,NA,NA
"6",1991,1,1,2,1,1,37776.81474,30322.04,1.18376,1.186438,10072200,8220506,17280.42963,17048.74,NA,NA,NA
"7",1992,1,1,2,1,1,31985.79752,18922.56,1.279991,1.309809,10661790,8097823,11570.43941,11503.94,NA,NA,NA
"8",1993,1,1,2,1,1,20051.15823,12286.66,1.543551,1.590214,14684380,10224350,7614.482152,7588.471,NA,NA,NA
"9",1994,1,1,2,1,1,13446.62007,10502.62,1.332879,1.43021,5257516,3327910,5755.222873,5718.205,NA,NA,NA
"10",1995,1,1,2,1,1,12128.09032,10971.49,0.916881,1.040489,6217710,3598369,4938.137159,4912.603,NA,NA,NA
"11",1996,1,1,2,1,1,13299.65707,11152.85,0.8162326,0.9815618,5584570,2927514,5362.602406,5338.451,NA,NA,NA
"12",1997,1,1,2,1,1,13933.8763,9110.072,0.6711441,0.8608584,9777971,4781329,4106.215586,4096.408,NA,NA,NA
"13",1998,1,1,2,1,1,12004.47304,7923.733,0.5597291,0.7645087,9105385,4212952,3210.603916,3202.421,NA,NA,NA
"14",1999,1,1,2,1,1,11215.41565,8033.525,0.3747781,0.5300615,19041730,8349980,2332.84668,2325.29,NA,NA,NA
"15",2000,1,1,2,1,1,12161.29153,10065.92,0.4428962,0.6325721,11455660,4878545,3369.379399,3372.37,NA,NA,NA
"16",2001,1,1,2,1,1,15378.77247,12056.03,0.4594742,0.6737255,2976459,1256720,4168.642039,4174.847,NA,NA,NA
"17",2002,1,1,2,1,1,18796.52769,13084.69,0.3626093,0.5328752,13175370,5522344,4002.828269,4020.512,NA,NA,NA
"18",2003,1,1,2,1,1,20397.41129,12913,0.3926542,0.5593009,4777869,2006801,4424.915091,4434.591,NA,NA,NA
"19",2004,1,1,2,1,1,19359.14349,11808.39,0.4701816,0.6493266,15418270,6590592,4443.686217,4443.634,NA,NA,NA
"20",2005,1,1,2,1,1,17266.71046,10852.1,0.6450534,0.8932761,9185212,4078043,5062.128049,5068.025,NA,NA,NA
"21",2006,1,1,2,1,1,15633.0102,9504.087,0.4354878,0.600154,15170260,6944724,3067.887018,3078.508,NA,NA,NA
"22",2007,1,1,2,1,1,14203.80951,11155.91,0.481724,0.6326639,11425310,5459910,3798.595002,3808.639,NA,NA,NA
"23",2008,1,1,2,1,1,15922.64237,12288.66,0.6653683,0.8376614,8282485,4112725,5151.754469,5170.223,NA,NA,NA
"24",2009,1,1,2,1,1,16724.72866,12065.31,0.7703221,0.9401333,5282501,2743280,5565.333333,5564.282,NA,NA,NA
"25",2010,1,1,2,1,1,15839.34304,10487.05,0.8866648,1.050042,3214456,1703602,5339.020292,5336.735,NA,NA,NA
"26",2011,1,1,2,1,1,13221.7822,7928.243,1.307762,1.506492,3123141,1612920,5109.970721,5100.765,NA,NA,NA
"27",2012,1,1,2,1,1,9573.531438,4448.942,1.481667,1.705248,3451363,1488373,3032.407788,3019.965,NA,NA,NA
"28",2013,1,1,2,1,1,5394.312786,2604.603,1.858794,2.256564,1711859,608148.6,1952.698835,1935.552,NA,NA,NA
"29",2014,1,1,2,1,1,3291.968035,1604.504,1.668793,2.561836,5726967,1783730,1242.39066,1227.679,NA,NA,NA
"30",2015,1,1,2,1,1,2375.189463,1088.671,0.2698311,0.497294,2311249,636732.3,260.327718,261.3038,NA,NA,NA
"31",2016,1,1,2,1,1,2232.821099,1744.956,0.3742287,0.7081946,1355431,344373.2,578.9498259,581.0518,NA,NA,NA
"32",2017,1,1,2,1,1,3547.93507,2083.113,0.3788805,0.7981649,3061964,778991.2,857.4885428,864.5991,NA,NA,NA
"33",2018,1,1,2,1,1,4363.402523,1804.225,0.198409,0.4588595,4260899,1141497,515.7121064,520.0589,NA,NA,NA
"34",2019,1,1,2,1,1,4278.680045,1921.993,0.074239729,0.1707761,2355081.168,673145.8,215.5089273,216.8433,4.160674624,326.7839659,NA
"35",2020,1,1,2,1,1,4722.159191,2580.555,0.084437274,0.1759238,3894280.567,1206441,296.130701,294.4178,13.58801255,-33.14645797,0.116133048
"36",2021,1,1,2,1,1,5809.750578,3315.778,0.122734648,0.2304455,3514836.354,1153769,528.3308344,530.0314,-7.92623262,-54.45223872,0.161892527
"37",2022,1,1,2,1,1,6826.740111,4049.886,0.143548286,0.2473848,5070596.245,1683373,706.5340734,709.4195,23.78479261,-41.1955973,0.200487443
"38",2023,1,1,2,1,1,7772.043056,4634.185,0.222005939,0.3734969,5333389.674,1800475,1089.079074,1108.484,7.89181695,-64.00358718,0.24128635
"39",2024,1,1,2,1,1,8367.698914,4962.853,0.259626789,0.4319717,5812091.236,1955272,1321.873524,1319.352,28.1802691,-44.55860906,0.286724168
"40",2025,1,1,2,1,1,8723.361959,5338.184,0.308248931,0.5044271,4500225.844,1487562,1594.503179,1600.507,22.63645974,-56.46987119,0.328873414
"41",2026,1,1,2,1,1,9458.66353,5589.069,0.373311894,0.6289366,4623995.015,1518782,1967.86626,1981.015,14.31069155,-39.20223094,0.377562001
"42",2027,1,1,2,1,1,9883.434104,5187.873,0.267514661,0.4648409,5560120.223,1767810,1515.360071,1518.334,8.878442608,-25.54025056,0.581477255
"43",2028,1,1,2,1,1,9604.631345,5298.524,0.321900714,0.5769017,3319405.09,1089827,1843.635428,1860.364,-5.40934583,-25.63485893,0.731460933
"44",2029,1,1,2,1,1,9748.566305,4895.394,0.201681051,0.3780883,3542056.21,1148534,1180.899291,1180.79,-8.864436716,5.255090504,0.689536038
"45",2030,1,1,2,1,1,9485.008703,5181.886,0.243085948,0.439683,3199901.988,1105076,1479.112424,1481.311,-10.24884091,-18.97540207,0.604255408
"46",2031,1,1,2,1,1,9789.984997,5087.529,0.190696629,0.3350061,2998484.36,1084466,1137.94997,1157.837,-14.81560279,-2.656773576,0.522581291
"47",2032,1,1,2,1,1,9447.683227,5309.348,0.234897248,0.3922194,2675401.161,1026726,1356.888784,1372.282,-8.752749052,-21.07208681,0.432226036
"48",2033,1,1,2,1,1,9228.041263,5094.373,0.198707111,0.3192237,2577152.783,1079162,1096.281881,1096.028,-7.110219437,-13.3152601,0.356558444
"49",2034,1,1,2,1,1,8569.527224,5098.223,0.241278948,0.3542596,3506795.26,1620163,1259.344497,1264.542,-7.260040914,-22.11013272,0.301339748
"50",2035,1,1,2,1,1,8137.660794,5174.679,0.200428917,0.2635137,3716383.52,1913597,990.7194152,992.7135,-2.975912936,-13.4305799,0.258197108
"51",2036,1,1,2,1,1,7575.961316,5629.93,0.237887356,0.2684678,3725967.004,2009817,1086.119552,1092.065,-10.81936204,-16.65110393,0.262062239
"52",2037,1,1,2,1,1,7528.654489,6502.335,0.187106484,0.1890343,2849490.281,1645218,881.5046244,876.4563,-10.10199069,-2.776383456,0.256699303
"53",1986,2,1,2,1,2,9297.731336,16128.75,0.96721,1.039465,10390600,10399860,6625.168885,6781.605,NA,NA,NA
"54",1987,2,1,2,1,2,16459.8042,20184.59,0.836977,0.8620278,16225800,16299870,8121.098713,8009.452,NA,NA,NA
"55",1988,2,1,2,1,2,20737.3608,22879.44,0.852962,0.8760291,16847800,17022250,9698.445058,9628.905,NA,NA,NA
"56",1989,2,1,2,1,2,23380.73362,24891.59,0.6555,0.6716373,30233800,30422300,8395.096964,8324.984,NA,NA,NA
"57",1990,2,1,2,1,2,25310.42643,31697.55,0.956372,0.9762025,4526620,4524998,13996.02118,13962.27,NA,NA,NA
"58",1991,2,1,2,1,2,31981.63515,35018.47,1.19324,1.212913,4628870,4678992,17913.88335,17928.44,NA,NA,NA
"59",1992,2,1,2,1,2,35178.57476,29712.78,1.2111,1.225712,8321060,8361550,16848.91791,16830.53,NA,NA,NA
"60",1993,2,1,2,1,2,29812.84729,18502.79,1.31222,1.329018,8306270,8350087,11260.1775,11265.03,NA,NA,NA
"61",1994,2,1,2,1,2,18583.15669,12172.96,1.60134,1.636577,10593000,10634500,7568.661636,7575.819,NA,NA,NA
"62",1995,2,1,2,1,2,12247.15568,10559.86,1.4559,1.488504,3499470,3486868,5812.518586,5810.289,NA,NA,NA
"63",1996,2,1,2,1,2,10606.51666,11105.49,1.05505,1.073165,3785520,3819360,5004.915463,5003.87,NA,NA,NA
"64",1997,2,1,2,1,2,11158.18093,11364.34,0.990981,0.9985003,3111340,3138732,5452.389343,5433.183,NA,NA,NA
"65",1998,2,1,2,1,2,11427.44984,9417.15,0.862996,0.869657,5080230,5081853,4213.116762,4221.049,NA,NA,NA
"66",1999,2,1,2,1,2,9426.166185,8283.702,0.762063,0.7674727,4473680,4474963,3321.002787,3325.344,NA,NA,NA
"67",2000,2,1,2,1,2,8295.847522,8469.659,0.524024,0.5283258,8768560,8760874,2429.529765,2431.184,NA,NA,NA
"68",2001,2,1,2,1,2,8487.569864,10667.25,0.624922,0.6313178,5105900,5086597,3527.586249,3548.606,NA,NA,NA
"69",2002,2,1,2,1,2,10685.61818,12787.12,0.666422,0.6710966,1316070,1312628,4393.986216,4391.24,NA,NA,NA
"70",2003,2,1,2,1,2,12810.60537,13838.23,0.531522,0.5344822,5760720,5776211,4240.301288,4233.378,NA,NA,NA
"71",2004,2,1,2,1,2,13890.4673,13652,0.558618,0.5630347,2064430,2070064,4684.842658,4700.876,NA,NA,NA
"72",2005,2,1,2,1,2,13703.06951,12481.49,0.647474,0.6513223,6694740,6702293,4707.148985,4708.719,NA,NA,NA
"73",2006,2,1,2,1,2,12533.36311,11382.54,0.879411,0.8892352,4096920,4085742,5284.612966,5283.4,NA,NA,NA
"74",2007,2,1,2,1,2,11440.90256,9929.366,0.582746,0.5894044,6912250,6923726,3162.688661,3165.941,NA,NA,NA
"75",2008,2,1,2,1,2,9960.388012,11563.55,0.617485,0.624439,5430370,5438988,3897.521222,3894.338,NA,NA,NA
"76",2009,2,1,2,1,2,11613.63399,12610.2,0.82387,0.8329046,4118280,4113597,5274.080224,5286.29,NA,NA,NA
"77",2010,2,1,2,1,2,12673.03248,12263.16,0.934049,0.9433501,2736090,2756569,5663.612707,5642.677,NA,NA,NA
"78",2011,2,1,2,1,2,12325.97282,10599.58,1.04277,1.056006,1711080,1721589,5398.15407,5395.377,NA,NA,NA
"79",2012,2,1,2,1,2,10642.93032,7966.15,1.50474,1.523277,1645230,1666366,5152.425812,5142.812,NA,NA,NA
"80",2013,2,1,2,1,2,8019.458039,4496.861,1.69086,1.726087,1681620,1699611,3039.018533,3038.779,NA,NA,NA
"81",2014,2,1,2,1,2,4516.216193,2659.182,2.17901,2.231531,787682,787734.4,1947.809682,1940.841,NA,NA,NA
"82",2015,2,1,2,1,2,2676.998938,1755.77,2.22469,2.261426,2701790,2714097,1245.113308,1243.673,NA,NA,NA
"83",2016,2,1,2,1,2,1759.860137,1445.36,0.370279,0.373796,1184440,1186099,260.6425519,261.5444,NA,NA,NA
"84",2017,2,1,2,1,2,1439.881013,2574.442,0.459487,0.4571371,757999,756460.3,580.0326774,580.5282,NA,NA,NA
"85",2018,2,1,2,1,2,2555.224783,3578.213,0.419339,0.416462,1845300,1849520,860.9131397,859.4519,NA,NA,NA
"86",2019,2,1,2,1,2,3552.202183,4014.465,0.042067513,0.04180622,1660768.431,1637218,122.4618653,122.8333,-26.93822405,991.1569562,NA
"87",2020,2,1,2,1,2,3977.997621,5524.908,0.03697947,0.03705785,1783464.532,1790065,151.7592249,152.2526,1.437580199,11.66392685,-0.000451108
"88",2021,2,1,2,1,2,5465.974709,7448.316,0.036979468,0.03665847,2460739.333,2466414,206.6706685,207.2712,-26.69474078,11.66404902,0.000283516
"89",2022,2,1,2,1,2,7349.920258,9954.768,0.054175363,0.05387511,2653861.968,2613042,415.7111144,418.85695,2.368349459,-34.61423604,0.0045836
"90",2023,2,1,2,1,2,9823.8588,13390.68,0.054175532,0.05371342,2688177.944,2730986,563.6453323,569.5368,-24.56265577,-34.61431363,-0.007894501
"91",2024,2,1,2,1,2,13192.73633,16165.645,0.097106153,0.096119395,2963177.407,2954525.5,1181.654369,1194.2745,2.925400245,-45.44009303,-0.006954571
"92",2025,2,1,2,1,2,16040.42068,18607.34,0.097105002,0.09538469,2674046.025,2632796,1390.121164,1404.7215,-15.13677384,-45.44014417,-0.007791205
"93",2026,2,1,2,1,2,18588.4001,21707.455,0.135982986,0.13450935,2780761.795,2740046.5,2178.805708,2186.0475,2.050421923,-28.56722605,-0.005254334
"94",2027,2,1,2,1,2,21837.80281,23949.765,0.13598283,0.13448985,2938651.991,2981395,2426.947048,2445.8925,-11.8695317,-28.56881471,-0.003730631
"95",2028,2,1,2,1,2,23886.19368,25847.105,0.138502507,0.1383151,2561803.517,2560832,2718.09057,2718.3575,2.020644435,-4.726262763,-0.000623988
"96",2029,2,1,2,1,2,25787.18234,27233.455,0.138503015,0.1383589,2758771.939,2793474,2894.43022,2883.3795,-4.702604922,-4.726260986,-0.000412535
"97",2030,2,1,2,1,2,27361.28545,28376.515,0.14099188,0.13858615,2719950.448,2654999,3095.057517,3091.947,1.297301494,-2.897439459,0.002318031
"98",2031,2,1,2,1,2,28577.27994,29028.635,0.140993548,0.13903725,2964330.638,2856234,3183.942665,3164.9275,-3.206629622,-2.901855849,0.002160708
"99",2032,2,1,2,1,2,29030.5138,29527.56,0.140101502,0.13912295,2813763.019,2730203.5,3235.930233,3250.281,0.59887265,-1.361013302,-0.004256343
"100",2033,2,1,2,1,2,29573.04772,29788.9,0.140105361,0.1377578,2862657.75,2842179,3278.197438,3307.575,-1.460517145,-1.364367674,-0.000687795
"101",2034,2,1,2,1,2,29813.82081,30027.66,0.138987234,0.13741355,2733371.404,2702950.5,3331.540442,3307.764,-0.300042186,-0.042500185,0.007255897
"102",2035,2,1,2,1,2,30129.16304,30477.015,0.138980975,0.1383512,2822865.654,2856996,3358.477686,3351.249,-0.838266345,-0.044167026,0.00462822
"103",2036,2,1,2,1,2,30311.80619,30536.24,0.137583618,0.1375784,2842912.17,2709162.5,3321.458081,3364.8825,-0.853330472,0.116261386,0.002205807
"104",2037,2,1,2,1,2,30359.61911,30386.96,0.137581867,0.1370856,2793157.551,2680939,3380.739656,3388.613,-1.568213589,0.116087131,0.003096546
"105",1986,3,1,2,1,3,8987.379405,16022.485,0.96721,1.051559,10390600,10386280,6529.147753,6732.3705,NA,NA,NA
"106",1987,3,1,2,1,3,16293.29745,20065.99,0.836977,0.8701455,16225800,16324875,8076.797109,7963.5845,NA,NA,NA
"107",1988,3,1,2,1,3,20649.21496,22874.11,0.852962,0.8818916,16847800,16988885,9682.451529,9599.7535,NA,NA,NA
"108",1989,3,1,2,1,3,23350.3815,24905.53,0.6555,0.6776402,30233800,30385850,8386.192305,8354.422,NA,NA,NA
"109",1990,3,1,2,1,3,25290.21253,31600.545,0.956372,0.98367925,4526620,4569884,13990.75879,13927.885,NA,NA,NA
"110",1991,3,1,2,1,3,31972.35133,34827.92,1.19324,1.212418,4628870,4664601,17912.0028,17853.225,NA,NA,NA
"111",1992,3,1,2,1,3,35175.65384,29651.245,1.2111,1.2302155,8321060,8386960.5,16848.4473,16838.195,NA,NA,NA
"112",1993,3,1,2,1,3,29812.12211,18429.605,1.31222,1.339321,8306270,8384590.5,11260.05786,11239.385,NA,NA,NA
"113",1994,3,1,2,1,3,18582.97984,12127.35,1.60134,1.6407255,10593000,10676195,7568.632703,7544.7175,NA,NA,NA
"114",1995,3,1,2,1,3,12247.1167,10541.835,1.4559,1.492099,3499470,3504318,5812.514008,5820.674,NA,NA,NA
"115",1996,3,1,2,1,3,10606.51023,11118.815,1.05505,1.073184,3785520,3798798.5,5004.914725,5017.45,NA,NA,NA
"116",1997,3,1,2,1,3,11158.17971,11394.865,0.990981,1.004482,3111340,3108981.5,5452.389141,5466.089,NA,NA,NA
"117",1998,3,1,2,1,3,11427.44949,9382.953,0.862996,0.8759405,5080230,5082739.5,4213.116706,4224.668,NA,NA,NA
"118",1999,3,1,2,1,3,9426.166079,8249.357,0.762063,0.7728283,4473680,4458715.5,3321.002769,3327.2975,NA,NA,NA
"119",2000,3,1,2,1,3,8295.847486,8441.854,0.524024,0.5324858,8768560,8812286.5,2429.52976,2426.7905,NA,NA,NA
"120",2001,3,1,2,1,3,8487.56985,10621.865,0.624922,0.63315225,5105900,5087680.5,3527.586246,3527.329,NA,NA,NA
"121",2002,3,1,2,1,3,10685.61817,12764.055,0.666422,0.67769915,1316070,1312325.5,4393.986215,4395.123,NA,NA,NA
"122",2003,3,1,2,1,3,12810.60537,13829.305,0.531522,0.53482795,5760720,5763496.5,4240.301287,4224.9725,NA,NA,NA
"123",2004,3,1,2,1,3,13890.4673,13638.78,0.558618,0.56057665,2064430,2079265,4684.842658,4674.0765,NA,NA,NA
"124",2005,3,1,2,1,3,13703.06951,12457.91,0.647474,0.6521134,6694740,6747189,4707.148985,4708.033,NA,NA,NA
"125",2006,3,1,2,1,3,12533.36311,11390.85,0.879411,0.8869622,4096920,4085575,5284.612966,5269.0365,NA,NA,NA
"126",2007,3,1,2,1,3,11440.90256,9918.867,0.582746,0.59356955,6912250,6925637,3162.688661,3179.9955,NA,NA,NA
"127",2008,3,1,2,1,3,9960.388012,11567.945,0.617485,0.6276245,5430370,5458394.5,3897.521222,3901.5925,NA,NA,NA
"128",2009,3,1,2,1,3,11613.63399,12605.085,0.82387,0.8382512,4118280,4149308,5274.080224,5284.542,NA,NA,NA
"129",2010,3,1,2,1,3,12673.03248,12252.75,0.934049,0.95128955,2736090,2750432,5663.612707,5655.128,NA,NA,NA
"130",2011,3,1,2,1,3,12325.97282,10575.705,1.04277,1.058664,1711080,1723376.5,5398.15407,5387.9355,NA,NA,NA
"131",2012,3,1,2,1,3,10642.93032,7981.0405,1.50474,1.534787,1645230,1666367,5152.425812,5158.5415,NA,NA,NA
"132",2013,3,1,2,1,3,8019.458039,4467.6045,1.69086,1.733261,1681620,1692806.5,3039.018533,3036.494,NA,NA,NA
"133",2014,3,1,2,1,3,4516.216193,2645.1275,2.17901,2.238588,787682,792816.45,1947.809682,1937.1555,NA,NA,NA
"134",2015,3,1,2,1,3,2676.998938,1750.2935,2.22469,2.278089,2701790,2697003.5,1245.113308,1242.643,NA,NA,NA
"135",2016,3,1,2,1,3,1759.860137,1435.3825,0.370279,0.37737405,1184440,1185005,260.6425519,261.6333,NA,NA,NA
"136",2017,3,1,2,1,3,1439.881013,2548.982,0.459487,0.4632898,757999,752396.95,580.0326774,580.0717,NA,NA,NA
"137",2018,3,1,2,1,3,2555.224783,3548.284,0.419339,0.4222891,1845300,1846630,860.9131397,859.11145,NA,NA,NA
"138",2019,3,1,2,1,3,3552.202183,3979.129,0.130782847,0.13124695,1449991.582,1450512,367.5713063,364.646,-25.42098214,242.1337958,NA
"139",2020,3,1,2,1,3,3976.952378,5143.8205,0.128564925,0.12951255,1788379.496,1760980.5,475.3823576,473.94595,4.017433561,-2.892937326,0.00764924
"140",2021,3,1,2,1,3,5168.722739,6579.2845,0.128565362,0.1296705,2240753.257,2246080,619.5544295,612.59635,-19.8471356,-2.894465862,0.008311488
"141",2022,3,1,2,1,3,6572.758454,8425.1285,0.126951015,0.1265842,2857681.771,2841123,789.8557913,784.87975,4.786554502,-2.111916653,0.000629958
"142",2023,3,1,2,1,3,8413.842161,11054.975,0.126952555,0.12646605,2949238.786,2960744,1033.011954,1042.1555,-19.35075243,-2.112542021,0.01066923
"143",2024,3,1,2,1,3,11159.32233,13416.135,0.127065238,0.1262254,2800230.324,2759043,1251.209159,1244.248,3.966560397,-3.594556592,0.011995623
"144",2025,3,1,2,1,3,13652.39657,16021.84,0.127065203,0.12695505,2848775.428,2856520,1503.601305,1503.2255,-14.16982146,-3.594671386,0.010433406
"145",2026,3,1,2,1,3,16114.67205,19104.045,0.127566121,0.1288524,2791721.188,2797457.5,1837.847366,1834.045,4.164020575,-5.834435564,0.006673121
"146",2027,3,1,2,1,3,18999.68923,21721.18,0.12756766,0.1279047,2934877.587,2993168,2099.65145,2092.197,-11.54419054,-5.834621564,0.01061338
"147",2028,3,1,2,1,3,21840.49896,23715.695,0.132646854,0.132945,2992953.588,3029086,2437.758415,2442.013,3.187286748,-7.94027107,0.009508854
"148",2029,3,1,2,1,3,23959.15158,25843.445,0.132645065,0.1327071,2779839.404,2750899,2664.462902,2669.6775,-6.989405011,-7.939522088,0.011071262
"149",2030,3,1,2,1,3,26087.04875,27879.405,0.136459905,0.1365494,2836666.124,2838617,3030.939827,3027.738,3.647821974,-7.677567452,0.004871791
"150",2031,3,1,2,1,3,27903.86357,29365.88,0.136460053,0.13639745,2846698.142,2751343.5,3171.352614,3184.557,-3.555102375,-7.678105893,0.002559629
"151",2032,3,1,2,1,3,29210.84674,30120.325,0.140906819,0.1401488,2928457.592,2872017,3317.555394,3319.281,3.169016905,-7.13661182,0.009866475
"152",2033,3,1,2,1,3,30492.72502,30682.145,0.140906211,0.1397926,2766063.895,2823784.5,3370.335943,3373.061,0.667279747,-7.137200516,0.015923218
"153",2034,3,1,2,1,3,30662.38691,30509.095,0.141694728,0.13984255,2857335.503,2813689,3453.510486,3436.6225,1.668032357,-2.724742458,0.014440791
"154",2035,3,1,2,1,3,30999.58056,31009.7,0.14169562,0.13794385,2947538.266,2885427,3432.148291,3440.8485,0.811134194,-2.723977491,0.013959162
"155",2036,3,1,2,1,3,31075.55113,31298.365,0.139881182,0.13720675,2821716.711,2719549.5,3410.530179,3414.2225,1.185378207,-2.011256532,0.013107851
"156",2037,3,1,2,1,3,31222.11611,31199.82,0.139883827,0.13655695,2663865.803,2413989,3432.840868,3452.6725,0.547663528,-2.011587851,0.011962318
"157",1986,4,1,2,1,4,9348.366728,16216.935,0.96721,1.045711,10390600,10320840,6647.167706,6799.6385,NA,NA,NA
"158",1987,4,1,2,1,4,16518.91299,20161.155,0.836977,0.8647992,16225800,16379850,8130.44701,8004.455,NA,NA,NA
"159",1988,4,1,2,1,4,20752.49175,22862.355,0.852962,0.8765613,16847800,16865570,9703.920632,9615.342,NA,NA,NA
"160",1989,4,1,2,1,4,23390.98182,24866.03,0.6555,0.67460555,30233800,30419960,8396.430977,8357.3685,NA,NA,NA
"161",1990,4,1,2,1,4,25313.45468,31636.36,0.956372,0.9778261,4526620,4569059,13997.90028,13909.35,NA,NA,NA
"162",1991,4,1,2,1,4,31984.95021,34924.56,1.19324,1.216954,4628870,4670070.5,17914.55486,17856.87,NA,NA,NA
"163",1992,4,1,2,1,4,35179.61777,29592.565,1.2111,1.231687,8321060,8385086.5,16849.08595,16783.15,NA,NA,NA
"164",1993,4,1,2,1,4,29813.10623,18384.765,1.31222,1.3335885,8306270,8368691.5,11260.22022,11209.155,NA,NA,NA
"165",1994,4,1,2,1,4,18583.21984,12101.135,1.60134,1.644082,10593000,10656065,7568.671968,7543.853,NA,NA,NA
"166",1995,4,1,2,1,4,12247.1696,10520.555,1.4559,1.492397,3499470,3515248,5812.520221,5792.6195,NA,NA,NA
"167",1996,4,1,2,1,4,10606.51896,11112.56,1.05505,1.066325,3785520,3794357.5,5004.915727,4995.9915,NA,NA,NA
"168",1997,4,1,2,1,4,11158.18137,11388.705,0.990981,1.0044445,3111340,3099971.5,5452.389416,5459.844,NA,NA,NA
"169",1998,4,1,2,1,4,11427.44996,9384.318,0.862996,0.8733531,5080230,5053278,4213.116782,4224.3845,NA,NA,NA
"170",1999,4,1,2,1,4,9426.166223,8261.9775,0.762063,0.7681421,4473680,4468676,3321.002793,3312.2025,NA,NA,NA
"171",2000,4,1,2,1,4,8295.847536,8433.1735,0.524024,0.5293524,8768560,8768112,2429.529767,2423.505,NA,NA,NA
"172",2001,4,1,2,1,4,8487.569869,10642.45,0.624922,0.6301294,5105900,5089915,3527.58625,3520.563,NA,NA,NA
"173",2002,4,1,2,1,4,10685.61818,12767.285,0.666422,0.6712443,1316070,1317882,4393.986217,4383.985,NA,NA,NA
"174",2003,4,1,2,1,4,12810.60538,13835.515,0.531522,0.5385881,5760720,5757619.5,4240.301288,4251.559,NA,NA,NA
"175",2004,4,1,2,1,4,13890.46731,13625.48,0.558618,0.564703,2064430,2058846,4684.842658,4687.803,NA,NA,NA
"176",2005,4,1,2,1,4,13703.06951,12433.17,0.647474,0.65394365,6694740,6716856,4707.148985,4700.266,NA,NA,NA
"177",2006,4,1,2,1,4,12533.36311,11344.98,0.879411,0.88879785,4096920,4109626,5284.612966,5270.9995,NA,NA,NA
"178",2007,4,1,2,1,4,11440.90256,9885.4195,0.582746,0.5905489,6912250,6916889.5,3162.688661,3147.529,NA,NA,NA
"179",2008,4,1,2,1,4,9960.388012,11545.33,0.617485,0.62540775,5430370,5432072,3897.521222,3899.689,NA,NA,NA
"180",2009,4,1,2,1,4,11613.63399,12606.465,0.82387,0.83370465,4118280,4116684.5,5274.080224,5268.8565,NA,NA,NA
"181",2010,4,1,2,1,4,12673.03248,12261.375,0.934049,0.9490483,2736090,2744174,5663.612707,5676.7475,NA,NA,NA
"182",2011,4,1,2,1,4,12325.97282,10563.755,1.04277,1.053392,1711080,1733015.5,5398.15407,5374.8645,NA,NA,NA
"183",2012,4,1,2,1,4,10642.93032,7976.25,1.50474,1.525892,1645230,1667836.5,5152.425812,5151.5215,NA,NA,NA
"184",2013,4,1,2,1,4,8019.458039,4477.6105,1.69086,1.7322835,1681620,1712321.5,3039.018533,3041.449,NA,NA,NA
"185",2014,4,1,2,1,4,4516.216193,2655.181,2.17901,2.242656,787682,794927.55,1947.809682,1945.4115,NA,NA,NA
"186",2015,4,1,2,1,4,2676.998938,1756.53,2.22469,2.271811,2701790,2731111.5,1245.113308,1245.014,NA,NA,NA
"187",2016,4,1,2,1,4,1759.860137,1444.4615,0.370279,0.37161925,1184440,1194896.5,260.6425519,260.9707,NA,NA,NA
"188",2017,4,1,2,1,4,1439.881013,2571.5205,0.459487,0.45819465,757999,764600.75,580.0326774,580.3062,NA,NA,NA
"189",2018,4,1,2,1,4,2555.224783,3586.198,0.419339,0.41710165,1845300,1863196.5,860.9131397,861.48245,NA,NA,NA
"190",2019,4,1,2,1,4,3552.202183,4030.024,0.183645321,0.1780585,1553667.544,1584178.5,505.171201,504.2836,-26.76240354,145.6751379,NA
"191",2020,4,1,2,1,4,3977.466508,5074.8165,0.143017016,0.13803495,1720359.616,1709048.5,505.1781587,506.90555,2.120596662,27.97652289,3.39e-05
"192",2021,4,1,2,1,4,5020.783992,6545.2415,0.143017104,0.1395586,2136802.149,2169115,651.1288139,653.43425,-20.16217864,27.97463811,-0.000956439
"193",2022,4,1,2,1,4,6438.782597,8408.761,0.057970555,0.056771085,2706000.551,2737107.5,362.01114,362.5939,2.461126023,135.8880553,-0.002036634
"194",2023,4,1,2,1,4,8252.265114,11561.54,0.057970539,0.057054975,2760044.33,2758385,504.9054568,509.83155,-19.88338369,135.8923591,-0.002266136
"195",2024,4,1,2,1,4,11337.52703,14448.22,0.045661458,0.04446352,2853004.994,2886964,500.6933498,494.09455,2.806165676,21.41995985,-0.004361952
"196",2025,4,1,2,1,4,14353.74912,17853.37,0.04566147,0.044705785,2848062.891,2918179.5,628.0233453,629.0722,-17.79179587,21.41999893,-0.004924028
