"","Time","Scenario","SSBratio"
"1","Short-term",1,0.25667057567821
"2","Short-term",1,0.265697894961932
"3","Short-term",1,0.260134155747769
"4","Short-term",1,0.246820696563454
"5","Short-term",1,0.258968098671515
"6","Short-term",1,0.254255269363712
"7","Short-term",1,0.270082713536085
"8","Short-term",1,0.268819371963467
"9","Short-term",1,0.263011319324044
"10","Short-term",1,0.263631528419378
"11","Short-term",1,0.267246689765235
"12","Short-term",1,0.267005980277226
"13","Short-term",1,0.250756355334451
"14","Short-term",1,0.25885134717151
"15","Short-term",1,0.262517712708357
"16","Short-term",1,0.267910639559768
"17","Short-term",1,0.265447600118941
"18","Short-term",1,0.2373907300447
"19","Short-term",1,0.264987594534197
"20","Short-term",1,0.260859441105402
"21","Short-term",1,0.258386856390861
"22","Short-term",1,0.25772107308904
"23","Short-term",1,0.268755442748974
"24","Short-term",1,0.247900099298074
"25","Short-term",1,0.244949908437197
"26","Short-term",1,0.235904879913441
"27","Short-term",1,0.259555250622326
"28","Short-term",1,0.238440937955253
"29","Short-term",1,0.264294068726011
"30","Short-term",1,0.266875608927759
"31","Short-term",1,0.26260003509668
"32","Short-term",1,0.269655222720074
"33","Short-term",1,0.264303211160165
"34","Short-term",1,0.271265713316029
"35","Short-term",1,0.240744298328621
"36","Short-term",1,0.259671701583102
"37","Short-term",1,0.2462392562939
"38","Short-term",1,0.262170848058458
"39","Short-term",1,0.270656452758758
"40","Short-term",1,0.257626759404196
"41","Short-term",1,0.253184871814084
"42","Short-term",1,0.262529966815385
"43","Short-term",1,0.268727564892882
"44","Short-term",1,0.26934334978779
"45","Short-term",1,0.253236066459604
"46","Short-term",1,0.245652809795466
"47","Short-term",1,0.27060229713235
"48","Short-term",1,0.262787324950923
"49","Short-term",1,0.241997194709923
"50","Short-term",1,0.24840300906722
"51","Short-term",1,0.261031821908456
"52","Short-term",1,0.271029517377656
"53","Short-term",1,0.258552384934944
"54","Short-term",1,0.261393339684346
"55","Short-term",1,0.237776634924205
"56","Short-term",1,0.26222802083649
"57","Short-term",1,0.253019191311144
"58","Short-term",1,0.24170244421975
"59","Short-term",1,0.257304634502849
"60","Short-term",1,0.262033072151059
"61","Short-term",1,0.236234012497506
"62","Short-term",1,0.249999124487914
"63","Short-term",1,0.164395678162503
"64","Short-term",1,0.26103083481253
"65","Short-term",1,0.265578154663835
"66","Short-term",1,0.263648123924805
"67","Short-term",1,0.255553967717961
"68","Short-term",1,0.262041096350432
"69","Short-term",1,0.247127651657995
"70","Short-term",1,0.262093712302038
"71","Short-term",1,0.248028807033162
"72","Short-term",1,0.261112606937416
"73","Short-term",1,0.260678301837524
"74","Short-term",1,0.251249702356878
"75","Short-term",1,0.259342196976179
"76","Short-term",1,0.266690253602581
"77","Short-term",1,0.266829034094117
"78","Short-term",1,0.260429765074465
"79","Short-term",1,0.269772828161382
"80","Short-term",1,0.262371028754104
"81","Short-term",1,0.251930177377852
"82","Short-term",1,0.196841806450231
"83","Short-term",1,0.261888241500299
"84","Short-term",1,0.255626815853017
"85","Short-term",1,0.255544396503183
"86","Short-term",1,0.265461130114427
"87","Short-term",1,0.266619688134953
"88","Short-term",1,0.264788859178809
"89","Short-term",1,0.259872125387724
"90","Short-term",1,0.251761436250591
"91","Short-term",1,0.253788545343895
"92","Short-term",1,0.264044094361675
"93","Short-term",1,0.256791813228928
"94","Short-term",1,0.244886897015327
"95","Short-term",1,0.268347819966708
"96","Short-term",1,0.256462424690515
"97","Short-term",1,0.254567071146081
"98","Short-term",1,0.261897046304463
"99","Short-term",1,0.232721627931314
"100","Short-term",1,0.257066152938948
"101","Short-term",1,0.271194073764865
"102","Short-term",1,0.266301189715344
"103","Short-term",1,0.263189012536498
"104","Short-term",1,0.268102660364601
"105","Short-term",1,0.259985491937483
"106","Short-term",1,0.266909866428359
"107","Short-term",1,0.259520600205906
"108","Short-term",1,0.263195318057719
"109","Short-term",1,0.268867565664929
"110","Short-term",1,0.265735823687479
"111","Short-term",1,0.260716147385675
"112","Short-term",1,0.263590970488412
"113","Short-term",1,0.261965526466257
"114","Short-term",1,0.251879922323636
"115","Short-term",1,0.248646374337519
"116","Short-term",1,0.261248965122259
"117","Short-term",1,0.258311778180717
"118","Short-term",1,0.259299125006305
"119","Short-term",1,0.245516398240172
"120","Short-term",1,0.270652914889422
"121","Short-term",1,0.266949829070144
"122","Short-term",1,0.255083548478225
"123","Short-term",1,0.256594687328303
"124","Short-term",1,0.255666721771657
"125","Short-term",1,0.257349522973535
"126","Short-term",1,0.255014858638917
"127","Short-term",1,0.254830973902973
"128","Short-term",1,0.241832817717141
"129","Short-term",1,0.248722826542759
"130","Short-term",1,0.260434631956071
"131","Short-term",1,0.246973971295479
"132","Short-term",1,0.229782563071823
"133","Short-term",1,0.270322192971629
"134","Short-term",1,0.263100576256822
"135","Short-term",1,0.254768614150405
"136","Short-term",1,0.267688399777024
"137","Short-term",1,0.260543717946808
"138","Short-term",1,0.268421960207054
"139","Short-term",1,0.255136257446965
"140","Short-term",1,0.267094688065712
"141","Short-term",1,0.242086055717847
"142","Short-term",1,0.264885399381032
"143","Short-term",1,0.237160532596762
"144","Short-term",1,0.260039637760666
"145","Short-term",1,0.269307158509876
"146","Short-term",1,0.270231886784678
"147","Short-term",1,0.267004494250812
"148","Short-term",1,0.259866918176008
"149","Short-term",1,0.268618596706965
"150","Short-term",1,0.266388912943908
"151","Short-term",1,0.256556059589245
"152","Short-term",1,0.263009922031519
"153","Short-term",1,0.256430467420033
"154","Short-term",1,0.265360546140055
"155","Short-term",1,0.266128342339586
"156","Short-term",1,0.268156376389681
"157","Short-term",1,0.256489111590622
"158","Short-term",1,0.271543523983523
"159","Short-term",1,0.268573672875273
"160","Short-term",1,0.262982828164016
"161","Short-term",1,0.260418427527331
"162","Short-term",1,0.245963066845197
"163","Short-term",1,0.264659154900126
"164","Short-term",1,0.268664464222007
"165","Short-term",1,0.263332096564535
"166","Short-term",1,0.239344462710355
"167","Short-term",1,0.271622385060139
"168","Short-term",1,0.251913957156268
"169","Short-term",1,0.258443977658613
"170","Short-term",1,0.250502821996615
"171","Short-term",1,0.266801878740095
"172","Short-term",1,0.240810648985391
"173","Short-term",1,0.267088308606598
"174","Short-term",1,0.26492645984811
"175","Short-term",1,0.241179788887511
"176","Short-term",1,0.257769389816135
"177","Short-term",1,0.26340755995695
"178","Short-term",1,0.263682618778888
"179","Short-term",1,0.263826604229171
"180","Short-term",1,0.26519027686484
"181","Short-term",1,0.2717307750823
"182","Short-term",1,0.256271194207387
"183","Short-term",1,0.271049447466947
"184","Short-term",1,0.235719210618653
"185","Short-term",1,0.272274067880436
"186","Short-term",1,0.260742702161682
"187","Short-term",1,0.241582807100367
"188","Short-term",1,0.264943084116428
"189","Short-term",1,0.248612801625332
"190","Short-term",1,0.263443262529254
"191","Short-term",1,0.253280933590193
"192","Short-term",1,0.250877659542912
"193","Short-term",1,0.260553826761854
"194","Short-term",1,0.252581233884541
"195","Short-term",1,0.263422441376998
"196","Short-term",1,0.260609376388256
"197","Short-term",1,0.267889139596934
"198","Short-term",1,0.264946768461241
"199","Short-term",1,0.262641863319762
"200","Short-term",1,0.258584094076127
"201","Short-term",1,0.268008251638258
"202","Short-term",1,0.244759309860761
