"","rhoF","Year","Scenario"
"245",NA,2004,5
"246",NA,2005,5
"247",NA,2006,5
"248",NA,2007,5
"249",NA,2008,5
"250",NA,2009,5
"251",NA,2010,5
"252",NA,2011,5
"253",NA,2012,5
"254",NA,2013,5
"255",NA,2014,5
"256",NA,2015,5
"257",NA,2016,5
"258",NA,2017,5
"259",NA,2018,5
"260",NA,2019,5
"261",-0.12171585629865,2020,5
"262",-0.157531768382222,2021,5
"263",-0.186259120276255,2022,5
"264",-0.205838391264715,2023,5
"265",-0.219541291910953,2024,5
"266",-0.237201500289576,2025,5
"267",-0.250836560041308,2026,5
"268",-0.311233994654145,2027,5
"269",-0.357427429454637,2028,5
"270",-0.387916306170947,2029,5
"271",-0.391543711602242,2030,5
"272",-0.380331792711814,2031,5
"273",-0.341445690813174,2032,5
"274",-0.303439827755026,2033,5
"275",-0.261681605455055,2034,5
"276",-0.224429773412191,2035,5
"277",-0.193036103137499,2036,5
"278",-0.170401662258268,2037,5
"279",-0.165433323967986,2038,5
"280",-0.172995490048863,2039,5
"281",NA,1984,6
"282",NA,1985,6
"283",NA,1986,6
"284",NA,1987,6
"285",NA,1988,6
"286",NA,1989,6
"287",NA,1990,6
"288",NA,1991,6
"289",NA,1992,6
"290",NA,1993,6
"291",NA,1994,6
"292",NA,1995,6
"293",NA,1996,6
"294",NA,1997,6
"295",NA,1998,6
"296",NA,1999,6
"297",NA,2000,6
"298",NA,2001,6
"299",NA,2002,6
"300",NA,2003,6
"301",NA,2004,6
"302",NA,2005,6
"303",NA,2006,6
"304",NA,2007,6
"305",NA,2008,6
"306",NA,2009,6
"307",NA,2010,6
"308",NA,2011,6
"309",NA,2012,6
"310",NA,2013,6
"311",NA,2014,6
"312",NA,2015,6
"313",NA,2016,6
"314",NA,2017,6
"315",NA,2018,6
"316",NA,2019,6
"317",-0.122965615508555,2020,6
"318",-0.154380607537241,2021,6
"319",-0.183459354704625,2022,6
"320",-0.20466072686254,2023,6
"321",-0.228079397096384,2024,6
"322",-0.250555661336238,2025,6
"323",-0.266401381736737,2026,6
"324",-0.319993801743358,2027,6
"325",-0.348553906826793,2028,6
"326",-0.358265297418767,2029,6
"327",-0.343173614523161,2030,6
"328",-0.318625915806281,2031,6
"329",-0.285005916558991,2032,6
"330",-0.249289986435805,2033,6
"331",-0.220039057403864,2034,6
"332",-0.18986403077606,2035,6
"333",-0.168755298434366,2036,6
"334",-0.157510010894721,2037,6
"335",-0.160688593509578,2038,6
"336",-0.16747495922534,2039,6
"337",NA,1984,7
"338",NA,1985,7
"339",NA,1986,7
"340",NA,1987,7
"341",NA,1988,7
"342",NA,1989,7
"343",NA,1990,7
"344",NA,1991,7
"345",NA,1992,7
"346",NA,1993,7
"347",NA,1994,7
"348",NA,1995,7
"349",NA,1996,7
"350",NA,1997,7
"351",NA,1998,7
"352",NA,1999,7
"353",NA,2000,7
"354",NA,2001,7
"355",NA,2002,7
"356",NA,2003,7
"357",NA,2004,7
"358",NA,2005,7
"359",NA,2006,7
"360",NA,2007,7
"361",NA,2008,7
"362",NA,2009,7
"363",NA,2010,7
"364",NA,2011,7
"365",NA,2012,7
"366",NA,2013,7
"367",NA,2014,7
"368",NA,2015,7
"369",NA,2016,7
"370",NA,2017,7
"371",NA,2018,7
"372",NA,2019,7
"373",-0.126589411010235,2020,7
"374",-0.171771846054784,2021,7
"375",-0.20039810080006,2022,7
"376",-0.235481198026099,2023,7
"377",-0.249854055002783,2024,7
"378",-0.261090741253405,2025,7
"379",-0.257267529920095,2026,7
"380",-0.27116670268141,2027,7
"381",-0.262619926660762,2028,7
"382",-0.252501939637099,2029,7
"383",-0.239609975615833,2030,7
"384",-0.2323374540849,2031,7
"385",-0.219792283231395,2032,7
"386",-0.216149928604142,2033,7
"387",-0.211979457073885,2034,7
"388",-0.212466562469363,2035,7
"389",-0.212511221742612,2036,7
"390",-0.210703611670609,2037,7
"391",-0.208711938931226,2038,7
"392",-0.206028667534576,2039,7
"393",NA,1984,8
"394",NA,1985,8
"395",NA,1986,8
"396",NA,1987,8
"397",NA,1988,8
"398",NA,1989,8
"399",NA,1990,8
"400",NA,1991,8
"401",NA,1992,8
"402",NA,1993,8
"403",NA,1994,8
"404",NA,1995,8
"405",NA,1996,8
"406",NA,1997,8
"407",NA,1998,8
"408",NA,1999,8
"409",NA,2000,8
"410",NA,2001,8
"411",NA,2002,8
"412",NA,2003,8
"413",NA,2004,8
"414",NA,2005,8
"415",NA,2006,8
"416",NA,2007,8
"417",NA,2008,8
"418",NA,2009,8
"419",NA,2010,8
"420",NA,2011,8
"421",NA,2012,8
"422",NA,2013,8
"423",NA,2014,8
"424",NA,2015,8
"425",NA,2016,8
"426",NA,2017,8
"427",NA,2018,8
"428",NA,2019,8
"429",-0.114514555113725,2020,8
"430",-0.157495425497436,2021,8
"431",-0.193700105016361,2022,8
"432",-0.213011972279082,2023,8
"433",-0.228002222034447,2024,8
"434",-0.240881676951519,2025,8
"435",-0.246729613113751,2026,8
"436",-0.290215060202149,2027,8
"437",-0.312630612962927,2028,8
"438",-0.326348850515474,2029,8
"439",-0.340310762980687,2030,8
"440",-0.353524781742257,2031,8
"441",-0.361308993702491,2032,8
"442",-0.372895786437148,2033,8
"443",-0.382740098531323,2034,8
"444",-0.386167631805001,2035,8
"445",-0.386694156666742,2036,8
"446",-0.373027815897113,2037,8
"447",-0.347308568991598,2038,8
"448",-0.303700565538032,2039,8
"449",NA,1984,9
"450",NA,1985,9
"451",NA,1986,9
"452",NA,1987,9
"453",NA,1988,9
"454",NA,1989,9
"455",NA,1990,9
"456",NA,1991,9
"457",NA,1992,9
"458",NA,1993,9
"459",NA,1994,9
"460",NA,1995,9
"461",NA,1996,9
"462",NA,1997,9
"463",NA,1998,9
"464",NA,1999,9
"465",NA,2000,9
"466",NA,2001,9
"467",NA,2002,9
"468",NA,2003,9
"469",NA,2004,9
"470",NA,2005,9
"471",NA,2006,9
"472",NA,2007,9
"473",NA,2008,9
"474",NA,2009,9
"475",NA,2010,9
"476",NA,2011,9
"477",NA,2012,9
"478",NA,2013,9
"479",NA,2014,9
"480",NA,2015,9
"481",NA,2016,9
"482",NA,2017,9
"483",NA,2018,9
"484",NA,2019,9
"485",-0.01200696007734,2020,9
"486",-0.00365365648138093,2021,9
"487",-0.00630810066596277,2022,9
"488",-0.000191128398962353,2023,9
"489",-0.00301810317709108,2024,9
"490",0.000749411022307696,2025,9
"491",-0.00434770204407326,2026,9
"492",-0.000247840736258455,2027,9
"493",-0.000556219426887319,2028,9
"494",-0.00961984915313963,2029,9
"495",-0.0054069878106833,2030,9
"496",-0.0141055746181354,2031,9
"497",-0.0127378463115417,2032,9
"498",-0.0185608281281714,2033,9
"499",-0.0176758384445264,2034,9
"500",-0.0251045797826613,2035,9
"501",-0.0240548782841111,2036,9
"502",-0.0363954477906409,2037,9
"503",-0.039342716369049,2038,9
"504",-0.0396487815114603,2039,9
"505",NA,1984,10
"506",NA,1985,10
"507",NA,1986,10
"508",NA,1987,10
"509",NA,1988,10
"510",NA,1989,10
"511",NA,1990,10
"512",NA,1991,10
"513",NA,1992,10
"514",NA,1993,10
"515",NA,1994,10
"516",NA,1995,10
"517",NA,1996,10
"518",NA,1997,10
"519",NA,1998,10
"520",NA,1999,10
"521",NA,2000,10
"522",NA,2001,10
"523",NA,2002,10
"524",NA,2003,10
"525",NA,2004,10
"526",NA,2005,10
"527",NA,2006,10
"528",NA,2007,10
"529",NA,2008,10
"530",NA,2009,10
"531",NA,2010,10
"532",NA,2011,10
"533",NA,2012,10
"534",NA,2013,10
"535",NA,2014,10
"536",NA,2015,10
"537",NA,2016,10
"538",NA,2017,10
"539",NA,2018,10
"540",NA,2019,10
"541",-0.00487934630946555,2020,10
"542",0.00173277168471072,2021,10
"543",0.00619903843234471,2022,10
"544",0.00554193382546632,2023,10
"545",0.00245118859057043,2024,10
"546",0.0065441869389951,2025,10
"547",0.000970622436258288,2026,10
"548",0.00156239670928593,2027,10
"549",-0.00359218306006643,2028,10
"550",-0.00471263230254599,2029,10
"551",-0.0159090220367446,2030,10
"552",-0.0129490436844954,2031,10
"553",-0.0176743332523394,2032,10
"554",-0.0145963592324741,2033,10
"555",-0.0177408114816239,2034,10
"556",-0.0204289823721804,2035,10
"557",-0.0213047014604856,2036,10
"558",-0.0309922828228032,2037,10
"559",-0.0397467079325438,2038,10
"560",-0.0379214915274533,2039,10
"561",NA,1984,11
"562",NA,1985,11
