"","R","Year","Rest","Scenario"
"796",2976459,2001,1261010,16
"797",13175370,2002,5518504.5,16
"798",4777869,2003,2004632.5,16
"799",15418270,2004,6590674.5,16
"800",9185212,2005,4046413.5,16
"801",15170260,2006,6939643.5,16
"802",11425310,2007,5456828.5,16
"803",8282485,2008,4114921,16
"804",5282501,2009,2733634.5,16
"805",3214456,2010,1705230,16
"806",3123141,2011,1599657,16
"807",3451363,2012,1480467.5,16
"808",1711859,2013,595996.6,16
"809",5726967,2014,1735232.5,16
"810",2311249,2015,603864.15,16
"811",1355431,2016,314570.65,16
"812",3061964,2017,660931.8,16
"813",4260899,2018,901243.45,16
"814",2380476.01514072,2019,508386.4,16
"815",3964161.99078882,2020,885684.75,16
"816",3530806.18734168,2021,786460.75,16
"817",5204853.54785554,2022,1213613.5,16
"818",5291706.08961997,2023,1311653.5,16
"819",5812275.87949403,2024,1490675,16
"820",4822803.1185581,2025,1334856,16
"821",4781200.33167484,2026,1352062.5,16
"822",6027167.59569019,2027,1882618,16
"823",3722575.81991411,2028,1205667.5,16
"824",4012273.29300865,2029,1400992.5,16
"825",3528968.74994845,2030,1269540.5,16
"826",3272655.68405264,2031,1251824.5,16
"827",2858244.43120519,2032,1137193,16
"828",2787773.59809709,2033,1175111.5,16
"829",3580601.07384913,2034,1616677,16
"830",4129463.59737102,2035,1981889.5,16
"831",3549699.17066064,2036,1793698.5,16
"832",2665403.6327013,2037,1480457.5,16
"833",16631560,1986,15935550,17
"834",17662870,1987,16807240,17
"835",32593270,1988,30445620,17
"836",5051173,1989,4577248,17
"837",5417801,1990,4710339,17
"838",10072200,1991,8314070,17
"839",10661790,1992,8094062,17
"840",14684380,1993,10229210,17
"841",5257516,1994,3355967,17
"842",6217710,1995,3612780,17
"843",5584570,1996,2923512,17
"844",9777971,1997,4822143,17
"845",9105385,1998,4219846,17
"846",19041730,1999,8377461,17
"847",11455660,2000,4891203,17
"848",2976459,2001,1271066,17
"849",13175370,2002,5585977,17
"850",4777869,2003,2020130,17
"851",15418270,2004,6651657,17
"852",9185212,2005,4083257,17
"853",15170260,2006,7003008,17
"854",11425310,2007,5522093,17
"855",8282485,2008,4185507,17
"856",5282501,2009,2782499,17
"857",3214456,2010,1724292,17
"858",3123141,2011,1628796,17
"859",3451363,2012,1470594,17
"860",1711859,2013,588888.3,17
"861",5726967,2014,1716269,17
"862",2311249,2015,588754.3,17
"863",1355431,2016,307142.3,17
"864",3061964,2017,676420,17
"865",4260899,2018,971259.3,17
"866",2456016.58361745,2019,573987.95,17
"867",3973995.73007524,2020,1000522,17
"868",3595226.19019066,2021,927375.5,17
"869",5222018.8343046,2022,1431183,17
"870",5441441.7626843,2023,1558292.5,17
"871",5894754.35299458,2024,1723272.5,17
"872",4671056.70843496,2025,1379426.5,17
"873",4653858.12795882,2026,1339507.5,17
"874",5924629.72364379,2027,1779707.5,17
"875",3550988.53669405,2028,1088324.5,17
"876",3768539.17980566,2029,1183879,17
"877",3441832.28629375,2030,1159721.5,17
"878",3097732.960947,2031,1149822.5,17
"879",2720451.82679819,2032,1090583.5,17
"880",2727617.07265729,2033,1239863.5,17
"881",3569344.41956588,2034,1765172.5,17
"882",4008321.99492018,2035,2257705,17
"883",3925720.64586171,2036,2358762,17
"884",3077506.80412459,2037,1975798.5,17
"885",16631560,1986,15652380,18
"886",17662870,1987,16709330,18
"887",32593270,1988,30185130,18
"888",5051173,1989,4511893,18
"889",5417801,1990,4631358,18
"890",10072200,1991,8231643,18
"891",10661790,1992,8032329,18
"892",14684380,1993,10220080,18
"893",5257516,1994,3317455,18
"894",6217710,1995,3588925,18
"895",5584570,1996,2930828,18
"896",9777971,1997,4772225,18
"897",9105385,1998,4219120,18
"898",19041730,1999,8347528,18
"899",11455660,2000,4889556,18
"900",2976459,2001,1265955,18
"901",13175370,2002,5516015,18
"902",4777869,2003,2012041,18
"903",15418270,2004,6580860,18
"904",9185212,2005,4033991,18
"905",15170260,2006,6948805,18
"906",11425310,2007,5471075,18
"907",8282485,2008,4102649,18
"908",5282501,2009,2738338,18
"909",3214456,2010,1699663,18
"910",3123141,2011,1610446,18
"911",3451363,2012,1470942,18
"912",1711859,2013,598803.7,18
"913",5726967,2014,1737569,18
"914",2311249,2015,610405.2,18
"915",1355431,2016,319866,18
"916",3061964,2017,698645.7,18
"917",4260899,2018,989136.8,18
"918",2390317.02749077,2019,579406.3,18
"919",4022597.69070722,2020,1031460,18
"920",3454723.7576315,2021,930708.2,18
"921",5297324.2559275,2022,1448550,18
"922",5107594.34296922,2023,1484607,18
"923",5806234.82910706,2024,1693798,18
"924",4634767.27275184,2025,1370466,18
"925",4776669.75521293,2026,1441932,18
"926",5872771.7032997,2027,1776591,18
"927",3646559.4718757,2028,1134083,18
"928",3917489.94477199,2029,1227108,18
"929",3359936.48718306,2030,1120371,18
"930",3027097.30430244,2031,1120910,18
"931",2869901.26538797,2032,1116885,18
"932",2771073.69853345,2033,1186634,18
"933",3714476.88111412,2034,1749274,18
"934",3942708.11294721,2035,2074744,18
"935",3949947.23420019,2036,2179296,18
"936",3029695.29385313,2037,1834879,18
"937",16631560,1986,15854700,19
"938",17662870,1987,16769670,19
"939",32593270,1988,30638950,19
"940",5051173,1989,4556990,19
"941",5417801,1990,4740998,19
"942",10072200,1991,8271692,19
"943",10661790,1992,8101452,19
"944",14684380,1993,10221570,19
"945",5257516,1994,3340651,19
"946",6217710,1995,3601635,19
"947",5584570,1996,2918701,19
"948",9777971,1997,4801012,19
"949",9105385,1998,4198949,19
"950",19041730,1999,8369353,19
"951",11455660,2000,4899705,19
"952",2976459,2001,1266777,19
"953",13175370,2002,5555087,19
"954",4777869,2003,2028124,19
"955",15418270,2004,6630094,19
"956",9185212,2005,4054638,19
"957",15170260,2006,7035994,19
"958",11425310,2007,5547601,19
"959",8282485,2008,4181887,19
"960",5282501,2009,2786601,19
"961",3214456,2010,1741859,19
"962",3123141,2011,1638639,19
"963",3451363,2012,1508763,19
"964",1711859,2013,627188.7,19
"965",5726967,2014,1896364,19
"966",2311249,2015,710486.2,19
"967",1355431,2016,407060.8,19
"968",3061964,2017,914587.8,19
"969",4260899,2018,1294699,19
"970",2293485.47699789,2019,710452.2,19
"971",4083558.52441131,2020,1210920,19
"972",3456321.92420985,2021,1035264,19
"973",4874884.85863549,2022,1395535,19
"974",4846123.74060933,2023,1397538,19
"975",5290196.91879566,2024,1483804,19
"976",4270814.29123408,2025,1203423,19
"977",4681227.12734041,2026,1323734,19
"978",5450364.60444503,2027,1623133,19
"979",3550445.68117064,2028,1075035,19
"980",3651196.39905672,2029,1178618,19
"981",3348117.04100439,2030,1143620,19
"982",3156054.3378594,2031,1174289,19
"983",2807838.62630965,2032,1120024,19
"984",2726800.11276377,2033,1221943,19
"985",3700720.37385792,2034,1781036,19
"986",3902499.37616457,2035,2163687,19
"987",3933002.70965276,2036,2270912,19
"988",3003864.2845164,2037,1832544,19
"989",16631560,1986,15911880,20
"990",17662870,1987,16843715,20
"991",32593270,1988,30561565,20
"992",5051173,1989,4569335.5,20
"993",5417801,1990,4706838,20
"994",10072200,1991,8318506.5,20
"995",10661790,1992,8133600,20
"996",14684380,1993,10265980,20
"997",5257516,1994,3360646.5,20
"998",6217710,1995,3584602.5,20
"999",5584570,1996,2934850,20
"1000",9777971,1997,4792861,20
"1001",9105385,1998,4220356.5,20
"1002",19041730,1999,8386506,20
"1003",11455660,2000,4859349,20
"1004",2976459,2001,1265113.5,20
"1005",13175370,2002,5600256,20
"1006",4777869,2003,2021310,20
"1007",15418270,2004,6625540.5,20
"1008",9185212,2005,4084382,20
"1009",15170260,2006,7055434.5,20
"1010",11425310,2007,5542798.5,20
"1011",8282485,2008,4208203.5,20
"1012",5282501,2009,2789948.5,20
"1013",3214456,2010,1735104.5,20
"1014",3123141,2011,1631530,20
"1015",3451363,2012,1473851,20
"1016",1711859,2013,590513.6,20
"1017",5726967,2014,1703900,20
"1018",2311249,2015,584842.85,20
"1019",1355431,2016,301811.4,20
"1020",3061964,2017,619600.65,20
"1021",4260899,2018,828185.7,20
"1022",2398143.65744911,2019,459303.75,20
"1023",3968246.10435363,2020,757840.05,20
"1024",3511434.67490039,2021,686937.8,20
"1025",4988323.23260026,2022,1002091.5,20
"1026",5325856.02289264,2023,1102832,20
"1027",5703908.59301897,2024,1266233,20
"1028",4715720.58587701,2025,1116218.5,20
"1029",4666141.01781405,2026,1185067,20
"1030",6104575.4410251,2027,1662301,20
"1031",3617747.60327014,2028,1053615,20
"1032",4268591.95990743,2029,1319102.5,20
"1033",3668061.56788234,2030,1243592,20
"1034",3393270.77035123,2031,1201573.5,20
"1035",2836564.63566024,2032,1174541,20
"1036",2885422.10680493,2033,1269052.5,20
"1037",3789839.28144146,2034,1843385.5,20
"1038",4184370.77760431,2035,2266061,20
"1039",3998579.74188991,2036,2251050,20
"1040",3124700.3431407,2037,1890138.5,20
"1041",16631560,1986,15877155,21
"1042",17662870,1987,16817525,21
"1043",32593270,1988,30434160,21
"1044",5051173,1989,4589400.5,21
"1045",5417801,1990,4731684,21
"1046",10072200,1991,8304557.5,21
"1047",10661790,1992,8126345.5,21
"1048",14684380,1993,10264370,21
"1049",5257516,1994,3372714,21
"1050",6217710,1995,3607228.5,21
"1051",5584570,1996,2931064.5,21
"1052",9777971,1997,4798827.5,21
"1053",9105385,1998,4218516.5,21
"1054",19041730,1999,8375238,21
"1055",11455660,2000,4879897,21
"1056",2976459,2001,1250217.5,21
"1057",13175370,2002,5560839.5,21
"1058",4777869,2003,2031392,21
"1059",15418270,2004,6647890.5,21
"1060",9185212,2005,4074119,21
"1061",15170260,2006,7003840.5,21
"1062",11425310,2007,5533017,21
"1063",8282485,2008,4188505,21
"1064",5282501,2009,2786907,21
"1065",3214456,2010,1739819.5,21
"1066",3123141,2011,1630777.5,21
"1067",3451363,2012,1483450,21
"1068",1711859,2013,601871.55,21
"1069",5726967,2014,1774537.5,21
"1070",2311249,2015,626507.2,21
"1071",1355431,2016,339335.95,21
"1072",3061964,2017,767050.1,21
"1073",4260899,2018,1126439.5,21
"1074",2381096.12565144,2019,671926.75,21
"1075",4041615.66412632,2020,1233952,21
"1076",3461635.12543965,2021,1078075,21
"1077",4920841.52821803,2022,1567542,21
"1078",5339890.54377632,2023,1638625.5,21
"1079",5771682.32461538,2024,1757645,21
"1080",4425250.95336697,2025,1350024,21
"1081",4517910.36412802,2026,1358851,21
"1082",5834212.88182629,2027,1730861.5,21
"1083",3501243.83370322,2028,1073416.5,21
"1084",3777810.91696471,2029,1177128.5,21
"1085",3357951.6603153,2030,1067936.5,21
"1086",3208475.47859473,2031,1061439,21
"1087",2742810.55249227,2032,963630.45,21
"1088",2694212.14555629,2033,1030580,21
"1089",3656243.33865984,2034,1535824,21
"1090",3917250.41737935,2035,1841494.5,21
"1091",3735899.23638034,2036,1993437.5,21
"1092",2980179.57231886,2037,1659720,21
"1093",16631560,1986,15784050,22
"1094",17662870,1987,16644400,22
"1095",32593270,1988,30305670,22
"1096",5051173,1989,4535235,22
"1097",5417801,1990,4640308,22
"1098",10072200,1991,8167225,22
"1099",10661790,1992,8088296,22
"1100",14684380,1993,10200890,22
"1101",5257516,1994,3341991,22
"1102",6217710,1995,3586545,22
"1103",5584570,1996,2919773,22
"1104",9777971,1997,4782663,22
"1105",9105385,1998,4202146,22
"1106",19041730,1999,8305907,22
"1107",11455660,2000,4853949,22
"1108",2976459,2001,1258475,22
"1109",13175370,2002,5526195,22
"1110",4777869,2003,2011986,22
"1111",15418270,2004,6568317,22
"1112",9185212,2005,4075006,22
"1113",15170260,2006,6973746,22
"1114",11425310,2007,5483940,22
"1115",8282485,2008,4109993,22
"1116",5282501,2009,2730129,22
"1117",3214456,2010,1700942,22
"1118",3123141,2011,1606399,22
"1119",3451363,2012,1486480,22
"1120",1711859,2013,610581.5,22
"1121",5726967,2014,1808591,22
"1122",2311249,2015,655479.9,22
"1123",1355431,2016,362240.2,22
"1124",3061964,2017,807774.8,22
"1125",4260899,2018,1173967,22
"1126",2402764.01763194,2019,681486.8,22
"1127",4190858.41674833,2020,1239918,22
"1128",3341023.61210747,2021,1042810,22
"1129",5030599.98419984,2022,1594422,22
"1130",5306946.6211628,2023,1624907,22
"1131",5525988.73937965,2024,1684099,22
"1132",4616236.71442116,2025,1369243,22
"1133",4545473.72066605,2026,1331847,22
"1134",5658321.80652681,2027,1696735.5,22
"1135",3471030.72041481,2028,1039229,22
"1136",3745810.53164157,2029,1157681.5,22
"1137",3350658.68599154,2030,1063710.5,22
"1138",3011392.15552206,2031,988434.1,22
"1139",2678990.15354183,2032,927164.55,22
"1140",2705935.14187789,2033,978983.05,22
"1141",3670107.51211483,2034,1480899.5,22
"1142",3869824.02249226,2035,1657222.5,22
"1143",3628742.74500681,2036,1768606,22
"1144",2900038.46818079,2037,1515728.5,22
"1145",16631560,1986,15929620,23
"1146",17662870,1987,16814745,23
"1147",32593270,1988,30422335,23
"1148",5051173,1989,4601324,23
"1149",5417801,1990,4719334.5,23
"1150",10072200,1991,8296251,23
"1151",10661790,1992,8171575,23
"1152",14684380,1993,10196540,23
"1153",5257516,1994,3353332,23
"1154",6217710,1995,3610951.5,23
"1155",5584570,1996,2948444,23
"1156",9777971,1997,4818006,23
"1157",9105385,1998,4194330,23
"1158",19041730,1999,8366365,23
"1159",11455660,2000,4890496.5,23
"1160",2976459,2001,1262450.5,23
"1161",13175370,2002,5593866.5,23
"1162",4777869,2003,2006303,23
"1163",15418270,2004,6619361,23
"1164",9185212,2005,4077874,23
"1165",15170260,2006,7000026,23
"1166",11425310,2007,5525251.5,23
"1167",8282485,2008,4163219,23
"1168",5282501,2009,2779135.5,23
"1169",3214456,2010,1738783,23
"1170",3123141,2011,1639980.5,23
"1171",3451363,2012,1498036,23
"1172",1711859,2013,621552.15,23
"1173",5726967,2014,1876321,23
"1174",2311249,2015,702476.9,23
"1175",1355431,2016,399486.2,23
"1176",3061964,2017,901792.85,23
"1177",4260899,2018,1259716,23
"1178",2482326.95080119,2019,728902.6,23
"1179",3931909.52971128,2020,1150988.5,23
"1180",3345243.46387663,2021,974974.05,23
"1181",4969575.15881805,2022,1464542,23
"1182",5150853.20678737,2023,1475929,23
"1183",5371075.72710506,2024,1561109.5,23
"1184",4431159.92448445,2025,1272986.5,23
"1185",4491182.91392299,2026,1313177.5,23
"1186",5560740.55071669,2027,1681016,23
"1187",3583917.31177736,2028,1078045,23
"1188",3765044.36666306,2029,1155171.5,23
"1189",3394275.21670717,2030,1099378,23
"1190",3112805.30087697,2031,1059023,23
"1191",2823159.59126775,2032,997676.2,23
"1192",2662176.06216453,2033,1009131,23
"1193",3729361.93694106,2034,1560350,23
"1194",3909827.83372661,2035,1857391,23
"1195",3782151.21259695,2036,1964696,23
"1196",3001833.76541953,2037,1696777,23
"1197",16631560,1986,15859885,24
"1198",17662870,1987,16915680,24
"1199",32593270,1988,30475390,24
"1200",5051173,1989,4608157.5,24
"1201",5417801,1990,4695666.5,24
"1202",10072200,1991,8325339,24
"1203",10661790,1992,8144741,24
"1204",14684380,1993,10245840,24
"1205",5257516,1994,3344132,24
"1206",6217710,1995,3580229.5,24
"1207",5584570,1996,2929481.5,24
"1208",9777971,1997,4801602,24
"1209",9105385,1998,4221385,24
"1210",19041730,1999,8354205.5,24
"1211",11455660,2000,4903149,24
"1212",2976459,2001,1268424.5,24
"1213",13175370,2002,5563712,24
"1214",4777869,2003,2017557.5,24
"1215",15418270,2004,6622778,24
"1216",9185212,2005,4091504,24
"1217",15170260,2006,7017529.5,24
"1218",11425310,2007,5544277,24
"1219",8282485,2008,4178314,24
"1220",5282501,2009,2787521.5,24
"1221",3214456,2010,1728952.5,24
"1222",3123141,2011,1633869.5,24
"1223",3451363,2012,1473204,24
"1224",1711859,2013,593423.7,24
"1225",5726967,2014,1725670,24
"1226",2311249,2015,597364.8,24
"1227",1355431,2016,311851.45,24
"1228",3061964,2017,656219.85,24
"1229",4260899,2018,896808.4,24
"1230",2350063.51263914,2019,502579.05,24
"1231",4034649.42695966,2020,904220.4,24
"1232",3430411.4955397,2021,786341.9,24
"1233",5102617.0017255,2022,1209412,24
"1234",5220603.22419402,2023,1286668.5,24
"1235",6006430.86480005,2024,1557211,24
"1236",4735758.4661317,2025,1310330,24
"1237",4701364.00681904,2026,1341821,24
"1238",6039616.17208083,2027,1819101,24
"1239",3758224.50663578,2028,1169865,24
"1240",4001908.75930525,2029,1315342,24
"1241",3609062.16767573,2030,1214937,24
"1242",3334761.92240397,2031,1147668,24
"1243",2932223.88933559,2032,1066459,24
"1244",2828946.82449972,2033,1085360,24
"1245",3697986.85854413,2034,1527636,24
"1246",3965755.70918435,2035,1817494,24
"1247",3804206.57225604,2036,1900660,24
"1248",2832913.94666355,2037,1467173,24
"1249",16764,1986,16717.425,25
"1250",2603,1987,2601.186,25
"1251",19933,1988,19926.77,25
"1252",1358,1989,1355,25
"1253",3378,1990,3388.773,25
"1254",2688,1991,2694.9525,25
"1255",10529,1992,10531.025,25
"1256",15191,1993,15147.155,25
"1257",14942,1994,14916.175,25
"1258",12204,1995,12168.94,25
"1259",11301,1996,11285.95,25
"1260",22261,1997,22201.105,25
"1261",13779,1998,13716.51,25
"1262",45226,1999,45091.48,25
"1263",10209,2000,10182.31,25
"1264",78106,2001,78046.865,25
"1265",4394,2002,4366.5335,25
"1266",2080,2003,2061.4285,25
"1267",249492,2004,249150,25
"1268",5322,2005,5325.8055,25
"1269",12873,2006,12916.88,25
"1270",4201,2007,4232.7325,25
"1271",4373,2008,4343.578,25
"1272",1788,2009,1786.492,25
"1273",6991,2010,7029.9275,25
"1274",207156,2011,206681.15,25
"1275",38754,2012,38786.32,25
"1276",29515,2013,29402.835,25
"1277",2267641,2014,2260062,25
"1278",55083,2015,54775.955,25
"1279",154684,2016,154334.45,25
"1280",546138,2017,545120.5,25
"1281",79974,2018,79864.43,25
"1282",113082.771266029,2019,114532.05,25
"1283",119842.512614011,2020,117721,25
"1284",120341.149147455,2021,121671.85,25
"1285",109197.54517195,2022,108404.1,25
"1286",109527.708021926,2023,110487.6,25
"1287",118387.385228111,2024,118008.85,25
"1288",121659.805137061,2025,122082.75,25
"1289",115917.21538401,2026,116003.5,25
"1290",118446.238166857,2027,118383.7,25
"1291",113061.669424546,2028,111104.9,25
"1292",120057.637701917,2029,122093.7,25
"1293",119034.126776124,2030,118379.2,25
"1294",117355.182147818,2031,118751.3,25
"1295",113509.637016314,2032,115586.6,25
"1296",115994.150519577,2033,115886.5,25
"1297",112808.754230046,2034,114242.4,25
"1298",109970.941545679,2035,111872.6,25
"1299",116915.286987854,2036,120210.8,25
"1300",123312.974651357,2037,122932.15,25
"1301",16764,1986,16727.665,26
"1302",2603,1987,2605.3115,26
"1303",19933,1988,19923.73,26
"1304",1358,1989,1358.117,26
"1305",3378,1990,3381.8165,26
"1306",2688,1991,2693.599,26
"1307",10529,1992,10547.5,26
"1308",15191,1993,15156.1,26
"1309",14942,1994,14930.045,26
"1310",12204,1995,12147.95,26
"1311",11301,1996,11287.175,26
"1312",22261,1997,22185.185,26
"1313",13779,1998,13773.85,26
"1314",45226,1999,45077.89,26
"1315",10209,2000,10170.45,26
"1316",78106,2001,77985.04,26
"1317",4394,2002,4398.9775,26
"1318",2080,2003,2086.539,26
"1319",249492,2004,249358.95,26
"1320",5322,2005,5318.434,26
"1321",12873,2006,12918.22,26
"1322",4201,2007,4205.85,26
"1323",4373,2008,4393.473,26
"1324",1788,2009,1788.978,26
"1325",6991,2010,7013.885,26
"1326",207156,2011,206572.5,26
"1327",38754,2012,38635.785,26
"1328",29515,2013,29397.435,26
"1329",2267641,2014,2262063,26
"1330",55083,2015,55094.85,26
"1331",154684,2016,154339.2,26
"1332",546138,2017,545802.75,26
"1333",79974,2018,79829.8,26
"1334",121439.476551442,2019,123760.85,26
"1335",111899.434117233,2020,112340.55,26
"1336",123159.86553247,2021,123116.85,26
"1337",113603.544128423,2022,114483.1,26
"1338",112843.002685099,2023,111453.15,26
"1339",120925.244801026,2024,120140.65,26
"1340",109517.592186395,2025,110385.8,26
"1341",114658.825601172,2026,113933.8,26
"1342",108524.919437947,2027,109927,26
"1343",121398.780845257,2028,119316.5,26
"1344",118644.823890342,2029,117523.85,26
"1345",126829.967607598,2030,126260.85,26
"1346",105959.539766234,2031,106624.95,26
"1347",115399.076469075,2032,114464.2,26
"1348",112012.900213399,2033,113098.65,26
"1349",123477.81598584,2034,124399.6,26
"1350",118893.913371208,2035,121829.7,26
"1351",119564.784837909,2036,117158.15,26
"1352",115225.744114548,2037,114250.3,26
"1353",16764,1986,16729.865,27
"1354",2603,1987,2604.8575,27
"1355",19933,1988,19919.605,27
"1356",1358,1989,1357.2515,27
"1357",3378,1990,3379.6555,27
"1358",2688,1991,2684.5745,27
"1359",10529,1992,10527.48,27
"1360",15191,1993,15152.18,27
"1361",14942,1994,14912.425,27
"1362",12204,1995,12183.685,27
"1363",11301,1996,11284.325,27
"1364",22261,1997,22219.135,27
"1365",13779,1998,13728.55,27
"1366",45226,1999,45095.61,27
"1367",10209,2000,10189.675,27
"1368",78106,2001,77953.635,27
"1369",4394,2002,4369.7645,27
"1370",2080,2003,2066.576,27
"1371",249492,2004,249018.75,27
"1372",5322,2005,5296.922,27
"1373",12873,2006,12895.5,27
"1374",4201,2007,4199.376,27
"1375",4373,2008,4395.705,27
"1376",1788,2009,1787.5055,27
"1377",6991,2010,7006.7665,27
"1378",207156,2011,207114.75,27
"1379",38754,2012,38686.53,27
"1380",29515,2013,29439.29,27
"1381",2267641,2014,2260149,27
"1382",55083,2015,54844.03,27
"1383",154684,2016,153924.05,27
"1384",546138,2017,544574.4,27
"1385",79974,2018,79771.6,27
"1386",117870.940252581,2019,118539.05,27
"1387",125853.737461295,2020,125620.3,27
"1388",115278.920656401,2021,115896.7,27
"1389",122425.890271474,2022,121595.2,27
"1390",118755.174412917,2023,120565.3,27
"1391",115065.257137542,2024,115838.75,27
"1392",122545.636741882,2025,124651.25,27
"1393",120637.515065585,2026,122193.6,27
"1394",113665.653880669,2027,111929.15,27
"1395",112081.771029104,2028,110303.25,27
"1396",114463.868892435,2029,111821.4,27
"1397",116222.03798161,2030,114916.4,27
"1398",121833.688192459,2031,123717.85,27
"1399",104661.047157832,2032,104682.35,27
"1400",114134.852257482,2033,113732.45,27
"1401",119061.490033178,2034,119264.3,27
"1402",115272.56920408,2035,118097.4,27
"1403",112042.634385193,2036,112169.65,27
"1404",126044.222690955,2037,123408.95,27
"1405",16764,1986,16719.665,28
"1406",2603,1987,2594.2355,28
"1407",19933,1988,19929.135,28
"1408",1358,1989,1356.6735,28
"1409",3378,1990,3384.305,28
"1410",2688,1991,2696.785,28
"1411",10529,1992,10507.665,28
"1412",15191,1993,15168.305,28
"1413",14942,1994,14925.18,28
"1414",12204,1995,12178.965,28
"1415",11301,1996,11267.775,28
"1416",22261,1997,22140.14,28
"1417",13779,1998,13706.495,28
"1418",45226,1999,45055.1,28
"1419",10209,2000,10142.915,28
"1420",78106,2001,78000.785,28
"1421",4394,2002,4379.095,28
"1422",2080,2003,2066.4775,28
"1423",249492,2004,248784.25,28
"1424",5322,2005,5301.841,28
"1425",12873,2006,12872.435,28
"1426",4201,2007,4194.902,28
"1427",4373,2008,4372.031,28
"1428",1788,2009,1788.62,28
"1429",6991,2010,6995.0715,28
"1430",207156,2011,206919.95,28
"1431",38754,2012,38591.905,28
"1432",29515,2013,29428.34,28
"1433",2267641,2014,2258729.5,28
"1434",55083,2015,54779.165,28
"1435",154684,2016,153817,28
"1436",546138,2017,543284,28
"1437",79974,2018,79526.035,28
"1438",117769.860506425,2019,116443.7,28
"1439",112652.598504659,2020,111865.05,28
"1440",128111.549674181,2021,124999.2,28
"1441",107653.549822579,2022,108614.4,28
"1442",126772.518036449,2023,124004.2,28
"1443",116320.431734551,2024,118439,28
"1444",120902.408502432,2025,118869.4,28
"1445",120160.818724365,2026,120774.05,28
"1446",118121.714069184,2027,118106.9,28
"1447",109089.066207123,2028,109049.15,28
"1448",109172.106394124,2029,109033.9,28
"1449",115426.702214374,2030,113515.9,28
"1450",127253.889203532,2031,124969.9,28
"1451",118033.358458996,2032,117470.65,28
"1452",114535.513101323,2033,111573.7,28
"1453",112649.659832337,2034,111715.55,28
"1454",129850.074484746,2035,128668.45,28
"1455",122675.736852752,2036,120185.75,28
"1456",120478.889796958,2037,122806,28
"1457",16764,1986,16780.925,29
"1458",2603,1987,2599.465,29
"1459",19933,1988,19980.25,29
"1460",1358,1989,1360.78,29
"1461",3378,1990,3382.34,29
"1462",2688,1991,2702.1335,29
"1463",10529,1992,10597.285,29
"1464",15191,1993,15278.29,29
"1465",14942,1994,15017.175,29
"1466",12204,1995,12261.525,29
"1467",11301,1996,11326.62,29
"1468",22261,1997,22332.155,29
"1469",13779,1998,13824.01,29
"1470",45226,1999,45325.13,29
"1471",10209,2000,10256.345,29
"1472",78106,2001,78288.035,29
"1473",4394,2002,4402.054,29
"1474",2080,2003,2075.215,29
"1475",249492,2004,250314.15,29
"1476",5322,2005,5328.872,29
"1477",12873,2006,12954.73,29
"1478",4201,2007,4227.287,29
"1479",4373,2008,4424.045,29
"1480",1788,2009,1801.9545,29
"1481",6991,2010,7026.802,29
"1482",207156,2011,207757.7,29
"1483",38754,2012,38831.26,29
"1484",29515,2013,29514.345,29
"1485",2267641,2014,2258007.5,29
"1486",55083,2015,54914.44,29
"1487",154684,2016,154019.65,29
"1488",546138,2017,544082.45,29
"1489",79974,2018,79674.38,29
"1490",113631.528827344,2019,114345.25,29
"1491",110501.648789989,2020,110914.5,29
"1492",113528.235254702,2021,112087.5,29
"1493",116573.839370439,2022,113846.1,29
"1494",113841.184250755,2023,112326.95,29
"1495",115881.317663125,2024,113553.6,29
"1496",118399.831929788,2025,115903.95,29
"1497",118748.677009515,2026,116527.7,29
"1498",122559.090961738,2027,118299.25,29
"1499",107359.266756114,2028,102917.35,29
"1500",116095.749523461,2029,110184.65,29
"1501",112234.027169074,2030,103675.45,29
"1502",117580.34522979,2031,108105.3,29
"1503",102072.693536352,2032,93529.84,29
"1504",116089.020253389,2033,106573.35,29
"1505",126336.654460433,2034,111465.1,29
"1506",112311.253116134,2035,99595.39,29
"1507",125278.792579211,2036,109585.3,29
"1508",119855.402407353,2037,100959.2,29
"1509",16764,1986,16793.14,30
"1510",2603,1987,2608.802,30
"1511",19933,1988,20018.07,30
"1512",1358,1989,1367.611,30
"1513",3378,1990,3397.706,30
"1514",2688,1991,2704.069,30
"1515",10529,1992,10597.14,30
"1516",15191,1993,15244.71,30
"1517",14942,1994,15007.88,30
"1518",12204,1995,12236.06,30
"1519",11301,1996,11324.99,30
"1520",22261,1997,22318.96,30
"1521",13779,1998,13792.4,30
"1522",45226,1999,45360.81,30
"1523",10209,2000,10206.57,30
"1524",78106,2001,78369.37,30
"1525",4394,2002,4397.724,30
"1526",2080,2003,2080.775,30
"1527",249492,2004,250267,30
"1528",5322,2005,5357.201,30
"1529",12873,2006,12952.18,30
"1530",4201,2007,4234.67,30
"1531",4373,2008,4409.123,30
"1532",1788,2009,1801.729,30
"1533",6991,2010,7032.909,30
"1534",207156,2011,207574.5,30
"1535",38754,2012,38660.46,30
"1536",29515,2013,29466.83,30
"1537",2267641,2014,2260718,30
"1538",55083,2015,54680.68,30
"1539",154684,2016,153927.8,30
"1540",546138,2017,544074.9,30
"1541",79974,2018,79465.25,30
"1542",112337.347556327,2019,111801.6,30
"1543",110786.500571544,2020,109742.1,30
"1544",129853.790569083,2021,128706.4,30
"1545",123977.068009934,2022,121656.8,30
"1546",111268.445007508,2023,106865.7,30
"1547",114794.841795275,2024,112405.6,30
"1548",116913.368283914,2025,112125.8,30
