Scenario,OM,Rho,Frequency,HCR
1,1,2,1,1
2,1,2,1,2
3,1,2,1,3
4,1,2,1,4
5,3,2,1,1
6,3,2,1,2
7,3,2,1,3
8,3,2,1,4
9,4,2,1,1
10,4,2,1,2
11,4,2,1,3
12,4,2,1,4
13,5,2,1,1
14,5,2,1,2
15,5,2,1,3
16,5,2,1,4
17,5,1,1,1
18,5,1,1,2
19,5,1,1,3
20,5,1,1,4
21,5,2,2,1
22,5,2,2,2
23,5,2,2,3
24,5,2,2,4
25,2,2,1,1
26,2,2,1,2
27,2,2,1,3
28,2,2,1,4
29,6,2,1,1
30,6,2,1,2
31,6,2,1,3
32,6,2,1,4
